Date,Country,Region,Isolated,IntensiveCare,TotalHospitalized,Hospitalized,Infected,Deceased
2020-04-08T09:00:00,WWW,Holy See,7,0,0,0,7,0
2020-04-08T09:00:00,WWW,Honduras,305,0,0,0,305,22
2020-04-08T09:00:00,WWW,Hungary,817,0,0,0,817,47
2020-04-08T09:00:00,WWW,Iceland,1562,0,0,0,1562,6
2020-04-08T09:00:00,WWW,India,4421,0,0,0,4421,114
2020-04-08T09:00:00,WWW,Indonesia,2491,0,0,0,2491,209
2020-04-08T09:00:00,WWW,Iran,60500,0,0,0,60500,3739
2020-04-08T09:00:00,WWW,Iraq,1031,0,0,0,1031,64
2020-04-08T09:00:00,WWW,Ireland,5364,0,0,0,5364,174
2020-04-08T09:00:00,WWW,Isle of Man,139,0,0,0,139,1
2020-04-08T09:00:00,WWW,Israel,8904,0,0,0,8904,57
2020-04-08T09:00:00,WWW,Italy,132547,0,0,0,132547,16525
2020-04-08T09:00:00,WWW,Jamaica,59,0,0,0,59,3
2020-04-08T09:00:00,WWW,Japan,3817,0,0,0,3817,80
2020-04-08T09:00:00,WWW,Jersey,169,0,0,0,169,3
2020-04-08T09:00:00,WWW,Jordan,349,0,0,0,349,6
2020-04-08T09:00:00,WWW,Kazakhstan,670,0,0,0,670,6
2020-04-08T09:00:00,WWW,Kenya,158,0,0,0,158,4
2020-04-08T09:00:00,WWW,Kosovo,145,0,0,0,145,3
2020-04-08T09:00:00,WWW,Kuwait,665,0,0,0,665,1
2020-04-08T09:00:00,WWW,Kyrgyzstan,228,0,0,0,228,4
2020-04-08T09:00:00,WWW,Laos,12,0,0,0,12,0
2020-04-08T09:00:00,WWW,Latvia,542,0,0,0,542,1
2020-04-08T09:00:00,WWW,Lebanon,541,0,0,0,541,19
2020-04-08T09:00:00,WWW,Liberia,14,0,0,0,14,3
2020-04-08T09:00:00,WWW,Libya,18,0,0,0,18,1
2020-04-08T09:00:00,WWW,Liechtenstein,78,0,0,0,78,1
2020-04-08T09:00:00,WWW,Lithuania,843,0,0,0,843,14
2020-04-08T09:00:00,WWW,Luxembourg,2843,0,0,0,2843,41
2020-04-08T09:00:00,WWW,Madagascar,77,0,0,0,77,0
2020-04-08T09:00:00,WWW,Malawi,5,0,0,0,5,0
2020-04-08T09:00:00,WWW,Malaysia,3793,0,0,0,3793,62
2020-04-08T09:00:00,WWW,Maldives,19,0,0,0,19,0
2020-04-08T09:00:00,WWW,Mali,47,0,0,0,47,5
2020-04-08T09:00:00,WWW,Malta,241,0,0,0,241,0
2020-04-08T09:00:00,WWW,Mauritania,6,0,0,0,6,1
2020-04-08T09:00:00,WWW,Mauritius,244,0,0,0,244,7
2020-04-08T09:00:00,WWW,Mexico,2439,0,0,0,2439,125
2020-04-08T09:00:00,WWW,Moldova,965,0,0,0,965,19
2020-04-08T09:00:00,WWW,Monaco,77,0,0,0,77,2
2020-04-08T09:00:00,WWW,Mongolia,15,0,0,0,15,0
2020-04-08T09:00:00,WWW,Montenegro,233,0,0,0,233,2
2020-04-08T09:00:00,WWW,Montserrat,6,0,0,0,6,0
2020-04-08T09:00:00,WWW,Morocco,1120,0,0,0,1120,80
2020-04-08T09:00:00,WWW,Mozambique,10,0,0,0,10,0
2020-04-08T09:00:00,WWW,Myanmar,22,0,0,0,22,1
2020-04-08T09:00:00,WWW,Namibia,16,0,0,0,16,0
2020-04-08T09:00:00,WWW,Nepal,9,0,0,0,9,0
2020-04-08T09:00:00,WWW,Netherlands,18803,0,0,0,18803,1867
2020-04-08T09:00:00,WWW,Netherlands Antilles,22,0,0,0,22,0
2020-04-08T09:00:00,WWW,New Caledonia,18,0,0,0,18,0
2020-04-08T09:00:00,WWW,New Zealand,943,0,0,0,943,1
2020-04-08T09:00:00,WWW,Nicaragua,6,0,0,0,6,1
2020-04-08T09:00:00,WWW,Niger,253,0,0,0,253,10
2020-04-08T09:00:00,WWW,Nigeria,238,0,0,0,238,5
2020-04-08T09:00:00,WWW,North Macedonia,570,0,0,0,570,21
2020-04-08T09:00:00,WWW,Northern Mariana Islands,8,0,0,0,8,1
2020-04-08T09:00:00,WWW,Norway,5755,0,0,0,5755,59
2020-04-08T09:00:00,WWW,Oman,371,0,0,0,371,2
2020-04-08T09:00:00,WWW,Pakistan,3864,0,0,0,3864,54
2020-04-08T09:00:00,WWW,Palestine,253,0,0,0,253,1
2020-04-08T09:00:00,WWW,Panama,2100,0,0,0,2100,55
2020-04-08T09:00:00,WWW,Papua New Guinea,1,0,0,0,1,0
2020-04-08T09:00:00,WWW,Paraguay,113,0,0,0,113,5
2020-04-08T09:00:00,WWW,Peru,2561,0,0,0,2561,92
2020-04-08T09:00:00,WWW,Philippines,3660,0,0,0,3660,163
2020-04-08T09:00:00,WWW,Poland,4413,0,0,0,4413,107
2020-04-08T09:00:00,WWW,Portugal,11730,0,0,0,11730,311
2020-04-08T09:00:00,WWW,Puerto Rico,513,0,0,0,513,21
2020-04-08T09:00:00,WWW,Qatar,1832,0,0,0,1832,4
2020-04-08T09:00:00,WWW,Romania,4057,0,0,0,4057,157
2020-04-08T09:00:00,WWW,Russia,6343,0,0,0,6343,47
2020-04-08T09:00:00,WWW,Rwanda,105,0,0,0,105,0
2020-04-08T09:00:00,WWW,Saint Barthelemy,6,0,0,0,6,0
2020-04-08T09:00:00,WWW,Saint Kitts and Nevis,11,0,0,0,11,0
2020-04-08T09:00:00,WWW,Saint Lucia,14,0,0,0,14,0
2020-04-08T09:00:00,WWW,Saint Vincent and the Grenadines,7,0,0,0,7,0
2020-04-08T09:00:00,WWW,San Marino,277,0,0,0,277,32
2020-04-08T09:00:00,WWW,Saudi Arabia,2523,0,0,0,2523,38
2020-04-08T09:00:00,WWW,Senegal,226,0,0,0,226,2
2020-04-08T09:00:00,WWW,Serbia,2200,0,0,0,2200,58
2020-04-08T09:00:00,WWW,Seychelles,11,0,0,0,11,0
2020-04-08T09:00:00,WWW,Sierra Leone,6,0,0,0,6,0
2020-04-08T09:00:00,WWW,Singapore,1375,0,0,0,1375,6
2020-04-08T09:00:00,WWW,Sint Maarten,25,0,0,0,25,4
2020-04-08T09:00:00,WWW,Slovakia,534,0,0,0,534,2
2020-04-08T09:00:00,WWW,Slovenia,1021,0,0,0,1021,30
2020-04-08T09:00:00,WWW,Somalia,7,0,0,0,7,0
2020-04-08T09:00:00,WWW,South Africa,1686,0,0,0,1686,12
2020-04-08T09:00:00,WWW,South Korea,10331,0,0,0,10331,192
2020-04-08T09:00:00,WWW,South Sudan,1,0,0,0,1,0
2020-04-08T09:00:00,WWW,Spain,135032,0,0,0,135032,13055
2020-04-08T09:00:00,WWW,Sri Lanka,178,0,0,0,178,5
2020-04-08T09:00:00,WWW,Sudan,12,0,0,0,12,2
2020-04-08T09:00:00,WWW,Suriname,10,0,0,0,10,1
2020-04-08T09:00:00,WWW,Sweden,7206,0,0,0,7206,477
2020-04-08T09:00:00,WWW,Switzerland,21574,0,0,0,21574,584
2020-04-08T09:00:00,WWW,Syria,19,0,0,0,19,2
