Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-07-28,ALB,Albania,Berat,40.6285,20.090775,73,1,43,29,1,0,False,False,AL031
2020-07-28,ALB,Albania,Dibër,,,51,2,28,21,0,0,False,False,AL011
2020-07-28,ALB,Albania,Durrës,41.518365,19.651766,772,19,508,245,13,4,False,False,AL012
2020-07-28,ALB,Albania,Elbasan,41.040028,20.186454,117,5,64,48,5,0,False,False,AL021
2020-07-28,ALB,Albania,Fier,40.774633,19.620528,221,6,139,76,11,3,False,False,AL032
2020-07-28,ALB,Albania,Gjirokastër,,,47,0,25,22,1,1,False,False,AL033
2020-07-28,ALB,Albania,Korçë,40.62883,20.666004,136,3,62,71,2,1,False,False,AL034
2020-07-28,ALB,Albania,Kukës,42.066696,20.419467,158,4,102,52,2,0,False,False,AL013
2020-07-28,ALB,Albania,Lezhë,41.801452,19.845695,226,2,143,81,8,3,False,False,AL014
2020-07-28,ALB,Albania,NOT SPECIFIED,,,0,,,0,,,False,False,
2020-07-28,ALB,Albania,Shkodër,42.17682,19.719451,534,23,309,202,3,2,False,False,AL015
2020-07-28,ALB,Albania,Tiranë,41.268583,19.793936,2461,79,1271,1111,52,8,False,False,AL022
2020-07-28,ALB,Albania,Vlorë,40.162418,19.793592,201,4,95,102,3,0,False,False,AL035
2020-07-29,AND,Andorra,Andorra,42.542268,1.596865,907,52,,855,,,False,False,AD
2020-07-13,ARM,Armenia,NOT SPECIFIED,40.070619,45.040741,32490,581,20729,11180,1885,273,False,False,
2020-07-29,AUT,Austria,Burgenland,47.541449,16.520206,393,0,363,30,,,True,True,AT11
2020-07-29,AUT,Austria,Kärnten,46.715832,14.455532,443,0,431,12,,,True,True,AT21
2020-07-29,AUT,Austria,Niederösterreich,48.27051,15.763245,3222,0,2971,251,,,True,True,AT12
2020-07-29,AUT,Austria,NOT SPECIFIED,,,0,0,0,0,187,23,True,True,
2020-07-29,AUT,Austria,Oberösterreich,48.138166,13.964295,3498,0,3032,466,,,True,True,AT31
2020-07-29,AUT,Austria,Salzburg,47.254051,13.032653,1312,0,1232,80,,,True,True,AT32
2020-07-29,AUT,Austria,Steiermark,47.187361,15.518046,1908,0,1791,117,,,True,True,AT22
2020-07-29,AUT,Austria,Tirol,47.209023,11.397603,3560,0,3510,50,,,True,True,AT33
2020-07-29,AUT,Austria,Vorarlberg,47.240149,9.896366,929,0,902,27,,,True,True,AT34
2020-07-29,AUT,Austria,Wien,48.21141,16.380038,4699,0,4147,552,,,True,True,AT13
2020-07-29,BLR,Belarus,Belarus,53.711111,27.973847,67366,543,,66823,,,False,False,BY
2020-07-27,BEL,Belgium,Brussels,50.836426,4.367415,6829,1505,,5324,32,12,True,True,BE1
2020-07-27,BEL,Belgium,Flanders,51.036569,4.234165,38006,4924,,33082,150,29,True,True,BE2
2020-07-27,BEL,Belgium,NOT SPECIFIED,,,1521,0,,1521,0,0,True,True,
2020-07-27,BEL,Belgium,Wallonia,50.312074,5.019093,20306,3403,,16903,40,11,True,True,BE3
2020-07-28,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,6131,132,0,5999,,,False,False,BA
2020-07-29,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,613,10,10,593,,,True,True,BG413
2020-07-29,BGR,Bulgaria,Burgas,42.491848,27.306892,309,1,19,289,,,True,True,BG341
2020-07-29,BGR,Bulgaria,Dobrich,43.65074,27.936751,231,0,2,229,,,True,True,BG332
2020-07-29,BGR,Bulgaria,Gabrovo,42.931879,25.247163,111,1,2,108,,,True,True,BG322
