Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-09-21,ALB,Albania,Berat,40.6285,20.090775,273,2,154,117,5,2,False,False,AL031
2020-09-21,ALB,Albania,Dibër,,,160,8,76,76,12,0,False,False,AL011
2020-09-21,ALB,Albania,Durrës,41.518365,19.651766,1571,46,961,564,15,3,False,False,AL012
2020-09-21,ALB,Albania,Elbasan,41.040028,20.186454,613,23,291,299,18,0,False,False,AL021
2020-09-21,ALB,Albania,Fier,40.774633,19.620528,672,18,418,236,8,3,False,False,AL032
2020-09-21,ALB,Albania,Gjirokastër,,,186,4,106,76,2,0,False,False,AL033
2020-09-21,ALB,Albania,Korçë,40.62883,20.666004,573,17,311,245,18,0,False,False,AL034
2020-09-21,ALB,Albania,Kukës,42.066696,20.419467,431,10,275,146,8,0,False,False,AL013
2020-09-21,ALB,Albania,Lezhë,41.801452,19.845695,635,15,320,300,14,2,False,False,AL014
2020-09-21,ALB,Albania,NOT SPECIFIED,,,0,,,0,,,False,False,
2020-09-21,ALB,Albania,Shkodër,42.17682,19.719451,912,40,496,376,15,2,False,False,AL015
2020-09-21,ALB,Albania,Tiranë,41.268583,19.793936,6095,174,3371,2550,54,4,False,False,AL022
2020-09-21,ALB,Albania,Vlorë,40.162418,19.793592,414,7,216,191,4,0,False,False,AL035
2020-09-21,AND,Andorra,Andorra,42.542268,1.596865,1564,53,,1511,,,False,False,AD
2020-07-13,ARM,Armenia,NOT SPECIFIED,40.070619,45.040741,32490,581,20729,11180,1885,273,False,False,
2020-09-21,AUT,Austria,Burgenland,47.541449,16.520206,670,11,543,116,,,True,True,AT11
2020-09-21,AUT,Austria,Kärnten,46.715832,14.455532,779,13,671,95,,,True,True,AT21
2020-09-21,AUT,Austria,Niederösterreich,48.27051,15.763245,5707,115,4495,1097,,,True,True,AT12
2020-09-21,AUT,Austria,NOT SPECIFIED,,,0,0,0,0,561,104,True,True,
2020-09-21,AUT,Austria,Oberösterreich,48.138166,13.964295,5860,67,5051,742,,,True,True,AT31
2020-09-21,AUT,Austria,Salzburg,47.254051,13.032653,1935,40,1691,204,,,True,True,AT32
2020-09-21,AUT,Austria,Steiermark,47.187361,15.518046,3149,148,2506,495,,,True,True,AT22
2020-09-21,AUT,Austria,Tirol,47.209023,11.397603,5595,102,4812,681,,,True,True,AT33
2020-09-21,AUT,Austria,Vorarlberg,47.240149,9.896366,1632,20,1153,459,,,True,True,AT34
2020-09-21,AUT,Austria,Wien,48.21141,16.380038,13315,235,8594,4486,,,True,True,AT13
2020-09-21,BLR,Belarus,Belarus,53.711111,27.973847,75674,780,,74894,,,False,False,BY
2020-09-20,BEL,Belgium,Brussels,50.836426,4.367415,14257,1545,,12712,124,22,True,True,BE1
2020-09-20,BEL,Belgium,Flanders,51.036569,4.234165,55578,4935,,50643,181,32,True,True,BE2
2020-09-20,BEL,Belgium,NOT SPECIFIED,,,2562,0,,2562,0,0,True,True,
2020-09-20,BEL,Belgium,Wallonia,50.312074,5.019093,29898,3468,,26430,123,23,True,True,BE3
2020-09-21,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,25424,757,,24667,,,False,False,BA
2020-09-21,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,1788,10,10,1768,,,True,True,BG413
2020-09-21,BGR,Bulgaria,Burgas,42.491848,27.306892,616,1,19,596,,,True,True,BG341
2020-09-21,BGR,Bulgaria,Dobrich,43.65074,27.936751,781,0,2,779,,,True,True,BG332
2020-09-21,BGR,Bulgaria,Gabrovo,42.931879,25.247163,191,1,2,188,,,True,True,BG322
2020-09-21,BGR,Bulgaria,Haskovo,41.849113,25.942349,240,1,7,232,,,True,True,BG422
2020-09-21,BGR,Bulgaria,Kardzhali,41.527042,25.441477,266,0,4,262,,,True,True,BG425
2020-09-21,BGR,Bulgaria,Kyustendil,42.255307,22.869974,587,3,20,564,,,True,True,BG415
2020-09-21,BGR,Bulgaria,Lovech,43.035259,24.5688,68,0,1,67,,,True,True,BG315
2020-09-21,BGR,Bulgaria,Montana,43.496677,23.192363,140,0,0,140,,,True,True,BG312
2020-09-21,BGR,Bulgaria,NOT SPECIFIED,,,0,616,12868,-13484,,,True,True,
2020-09-21,BGR,Bulgaria,Pazardzhik,42.133682,24.140941,793,9,18,766,,,True,True,BG423
2020-09-21,BGR,Bulgaria,Pernik,42.613861,22.853171,214,0,1,213,,,True,True,BG414
2020-09-21,BGR,Bulgaria,Pleven,43.486117,24.610919,490,2,10,478,,,True,True,BG314
2020-09-21,BGR,Bulgaria,Plovdiv,42.257364,24.824903,1587,5,64,1518,,,True,True,BG421
2020-09-21,BGR,Bulgaria,Razgrad,,,175,0,0,175,,,True,True,BG324
2020-09-21,BGR,Bulgaria,Ruse,43.54059,25.759217,383,0,1,382,,,True,True,BG323
2020-09-21,BGR,Bulgaria,Shumen,43.296516,27.004814,322,1,1,320,,,True,True,BG333
2020-09-21,BGR,Bulgaria,Silistra,43.946163,27.044927,177,1,2,174,,,True,True,BG325
2020-09-21,BGR,Bulgaria,Sliven,42.67034,26.241026,494,11,56,427,,,True,True,BG342
2020-09-21,BGR,Bulgaria,Smolyan,41.628892,24.668089,672,4,33,635,,,True,True,BG424
2020-09-21,BGR,Bulgaria,Sofia City,42.286287,23.616846,5009,56,411,4542,,,True,True,BG411
2020-09-21,BGR,Bulgaria,Sofia Region,,,663,0,0,663,,,True,True,BG412
2020-09-21,BGR,Bulgaria,Stara Zagora,42.411912,25.567329,599,3,0,596,,,True,True,BG344
2020-09-21,BGR,Bulgaria,Targovishte,,,105,1,0,104,,,True,True,BG334
2020-09-21,BGR,Bulgaria,Varna,43.186206,27.59493,1411,0,11,1400,,,True,True,BG331
2020-09-21,BGR,Bulgaria,Veliko Tarnovo,43.189524,25.649275,317,4,5,308,,,True,True,BG321
2020-09-21,BGR,Bulgaria,Vidin,43.797295,22.68621,258,18,14,226,,,True,True,BG311
2020-09-21,BGR,Bulgaria,Vratsa,43.395067,23.759152,125,0,2,123,,,True,True,BG313
2020-09-21,BGR,Bulgaria,Yambol,,,392,14,18,360,,,True,True,BG343
2020-09-21,HRV,Croatia,Bjelovarsko-bilogorska,45.739855,16.976657,206,1,,205,,,True,True,HR047
2020-09-21,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,605,4,,601,,,True,True,HR04A
2020-09-21,HRV,Croatia,Dubrovačko-neretvanska,42.662368,18.15083,607,12,,595,,,True,True,HR037
2020-09-21,HRV,Croatia,Grad Zagreb,45.742196,16.008116,3220,44,,3176,,,True,True,HR041
2020-09-21,HRV,Croatia,Istarska,45.203521,13.895312,460,12,,448,,,True,True,HR036
2020-09-21,HRV,Croatia,Karlovačka,45.292126,15.46427,281,2,,279,,,True,True,HR04D
2020-09-21,HRV,Croatia,Koprivničko-križevačka,46.066232,16.571467,202,16,,186,,,True,True,HR045
2020-09-21,HRV,Croatia,Krapinsko-zagorska županija,46.09492,15.919072,305,2,,303,,,True,True,HR043
2020-09-21,HRV,Croatia,Ličko-senjska,44.69075,15.422344,148,1,,147,,,True,True,HR032
2020-09-21,HRV,Croatia,Međimurska,46.410728,16.508315,121,0,,121,,,True,True,HR046
2020-03-25,HRV,Croatia,NOT SPECIFIED,,,1,0,0,1,,,True,True,
2020-09-21,HRV,Croatia,Osječko-baranjska,45.56139,18.442456,954,36,,918,,,True,True,HR04B
2020-09-21,HRV,Croatia,Požeško-slavonska,45.404899,17.562893,348,1,,347,,,True,True,HR049
2020-09-21,HRV,Croatia,Primorsko-Goranska,45.367738,14.701448,526,5,,521,,,True,True,HR031
2020-09-21,HRV,Croatia,Šibensko-kninska,43.89492,16.07332,536,6,,530,,,True,True,HR034
2020-09-21,HRV,Croatia,Sisačko-moslavačka,45.365583,16.424137,265,2,,263,,,True,True,HR04E
2020-09-21,HRV,Croatia,Splitsko-Dalmatinska,43.613438,16.730085,3680,73,,3607,,,True,True,HR035
2020-09-21,HRV,Croatia,Varaždinska,46.250434,16.293818,207,3,,204,,,True,True,HR044
2020-09-21,HRV,Croatia,Virovitičko-podravska,45.831646,17.385543,183,4,,179,,,True,True,HR048
2020-09-21,HRV,Croatia,Vukovarsko-srijemska,45.179126,18.877963,751,11,,740,,,True,True,HR04C
2020-09-21,HRV,Croatia,Zadarska,44.347845,15.959404,709,8,,701,,,True,True,HR033
2020-09-21,HRV,Croatia,Zagrebačka,45.82762,16.381796,678,10,,668,,,True,True,HR042
2020-09-21,CYP,Cyprus,Cyprus,35.167406,33.435499,1600,22,,1578,,,True,True,CY
2020-09-21,CZE,Czech Republic,Jihoceský,49.093362,14.439278,1875,0,0,1875,,,True,True,CZ031
2020-09-21,CZE,Czech Republic,Jihomoravský,49.079446,16.663916,4077,0,0,4077,,,True,True,CZ064
2020-09-21,CZE,Czech Republic,Karlovarský,50.170136,12.763213,1220,0,0,1220,,,True,True,CZ041
2020-09-21,CZE,Czech Republic,Královéhradecký,50.385055,15.865137,1552,0,0,1552,,,True,True,CZ052
2020-09-21,CZE,Czech Republic,Liberecký,50.732038,14.973755,1484,0,0,1484,,,True,True,CZ051
2020-09-21,CZE,Czech Republic,Moravskoslezský,49.780617,18.000931,7012,0,0,7012,,,True,True,CZ080
2020-09-21,CZE,Czech Republic,NOT SPECIFIED,,,650,503,24755,-24608,,,True,True,
