Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-23,GBR,United Kingdom,South East,51.291417,-0.521902,5,,,,,,False,True
2020-02-24,ITA,Italy,Emilia-Romagna,44.536563,11.019909,18,0,0,18,12,2,True,True
2020-02-24,ITA,Italy,Lazio,41.981132,12.767224,3,0,1,2,2,1,True,True
2020-02-24,ITA,Italy,Lombardia,45.622479,9.770824,172,6,0,166,95,19,True,True
2020-02-24,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,2,0,True,True
2020-02-24,ITA,Italy,Veneto,45.664735,11.84235,33,1,0,32,16,4,True,True
2020-02-25,ITA,Italy,Bolzano,46.697344,11.417082,1,,,,,,True,True
2020-02-25,ITA,Italy,Emilia-Romagna,44.536563,11.019909,26,,,,,,True,True
2020-02-25,ITA,Italy,Lazio,41.981132,12.767224,3,,1,,,,True,True
2020-02-25,ITA,Italy,Liguria,44.144781,8.140492,1,,,,,,True,True
2020-02-25,ITA,Italy,Lombardia,45.622479,9.770824,240,9,,,,,True,True
2020-02-25,ITA,Italy,Piemonte,45.060965,7.926836,3,,,,,,True,True
2020-02-25,ITA,Italy,Sicilia,37.587635,14.155497,3,,,,,,True,True
2020-02-25,ITA,Italy,Toscana,43.459993,11.136697,2,,,,,,True,True
2020-02-25,ITA,Italy,Veneto,45.664735,11.84235,43,1,,,,,True,True
2020-02-25,CHE,Switzerland,Ticino,46.297963,8.808447,1,0,0,1,0,0,False,False
2020-02-26,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True
2020-02-26,ITA,Italy,Emilia-Romagna,44.536563,11.019909,47,1,0,46,23,3,True,True
2020-02-26,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,True,True
2020-02-26,ITA,Italy,Liguria,44.144781,8.140492,11,0,0,11,6,0,True,True
2020-02-26,ITA,Italy,Lombardia,45.622479,9.770824,258,9,0,249,104,25,True,True
2020-02-26,ITA,Italy,Marche,43.366624,13.106678,1,0,0,1,1,0,True,True
2020-02-26,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,2,0,True,True
2020-02-26,ITA,Italy,Sicilia,37.587635,14.155497,3,0,0,3,1,0,True,True
2020-02-26,ITA,Italy,Toscana,43.459993,11.136697,2,0,0,2,2,0,True,True
2020-02-26,ITA,Italy,Veneto,45.664735,11.84235,71,2,0,69,24,8,True,True
2020-02-26,CHE,Switzerland,Geneva,46.217114,6.131255,1,0,0,1,1,0,False,False
2020-02-26,CHE,Switzerland,Ticino,46.297963,8.808447,1,0,0,1,0,0,False,False
2020-02-27,ITA,Italy,Abruzzo,42.228034,13.855137,1,0,0,1,1,0,True,True
2020-02-27,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True
2020-02-27,ITA,Italy,Campania,41.059945,14.785097,3,0,0,3,2,0,True,True
2020-02-27,ITA,Italy,Emilia-Romagna,44.536563,11.019909,97,1,0,96,42,6,True,True
2020-02-27,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,True,True
2020-02-27,ITA,Italy,Liguria,44.144781,8.140492,19,0,0,19,9,0,True,True
2020-02-27,ITA,Italy,Lombardia,45.622479,9.770824,403,14,40,349,213,41,True,True
2020-02-27,ITA,Italy,Marche,43.366624,13.106678,3,0,0,3,3,1,True,True
2020-02-27,ITA,Italy,Piemonte,45.060965,7.926836,2,0,0,2,2,0,True,True
2020-02-27,ITA,Italy,Puglia,40.984631,16.620464,1,0,0,1,1,0,True,True
2020-02-27,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,True,True
2020-02-27,ITA,Italy,Toscana,43.459993,11.136697,2,0,0,2,2,0,True,True
2020-02-27,ITA,Italy,Veneto,45.664735,11.84235,111,2,0,109,27,8,True,True
2020-02-27,NLD,Netherlands,North Brabant,51.527534,5.590194,1,,,,,,True,True
2020-02-27,CHE,Switzerland,Geneva,46.217114,6.131255,1,0,0,1,1,0,False,False
2020-02-27,CHE,Switzerland,Ticino,46.297963,8.808447,1,0,0,1,0,0,False,False
2020-02-27,CHE,Switzerland,Zurich,47.417407,8.655988,1,0,0,1,0,0,False,False
2020-02-27,GBR,United Kingdom,England,,,5,,,,,,False,True
2020-02-27,GBR,United Kingdom,London,51.497136,-0.100571,1,,,,,,False,True
2020-02-27,GBR,United Kingdom,Midlands,52.718351,-1.45667,1,,,,,,False,True
2020-02-27,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,,,,,,False,True
2020-02-27,GBR,United Kingdom,Northern Ireland,54.787715,-6.492314,1,,,,,,False,True
2020-02-27,GBR,United Kingdom,South East,51.291417,-0.521902,5,,,,,,False,True
2020-02-28,FRA,France,Auvergne-Rhône-Alpes,45.283026,4.624017,11,0,0,11,0,0,True,True
2020-02-28,FRA,France,Bourgogne-Franche-Comté,47.234197,4.806917,4,0,0,4,0,0,True,True
2020-02-28,FRA,France,Bretagne,48.181767,-2.840778,1,0,0,1,0,0,True,True
2020-02-28,FRA,France,Grand Est,48.688738,5.613275,1,0,0,1,0,0,True,True
2020-02-28,FRA,France,Hauts-de-France,49.96966,2.770434,9,0,0,9,0,0,True,True
2020-02-28,FRA,France,Île-de-France,48.709229,2.503473,9,0,0,9,0,0,True,True
2020-02-28,FRA,France,Nouvelle-Aquitaine,45.479897,0.410462,1,0,0,1,0,0,True,True
2020-02-28,FRA,France,Occitanie,43.703195,2.143601,1,0,0,1,0,0,True,True
2020-02-28,FRA,France,Pays de la Loire,47.479115,-0.811996,1,0,0,1,0,0,True,True
2020-02-28,ITA,Italy,Abruzzo,42.228034,13.855137,1,0,0,1,1,0,True,True
2020-02-28,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,True,True
2020-02-28,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,True,True
2020-02-28,ITA,Italy,Campania,41.059945,14.785097,4,0,0,4,2,0,True,True
2020-02-28,ITA,Italy,Emilia-Romagna,44.536563,11.019909,145,2,0,143,62,6,True,True
2020-02-28,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,True,True
2020-02-28,ITA,Italy,Liguria,44.144781,8.140492,19,0,0,19,9,0,True,True
2020-02-28,ITA,Italy,Lombardia,45.622479,9.770824,531,17,40,474,282,47,True,True
2020-02-28,ITA,Italy,Marche,43.366624,13.106678,6,0,0,6,5,2,True,True
2020-02-28,ITA,Italy,Piemonte,45.060965,7.926836,11,0,0,11,7,0,True,True
2020-02-28,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,True,True
2020-02-28,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,True,True
2020-02-28,ITA,Italy,Toscana,43.459993,11.136697,8,0,1,7,5,0,True,True
2020-02-28,ITA,Italy,Veneto,45.664735,11.84235,151,2,0,149,33,9,True,True
2020-02-28,NLD,Netherlands,North Brabant,51.527534,5.590194,1,,,,,,True,True
2020-02-28,NLD,Netherlands,North Holland,52.551824,4.876581,1,,,,,,True,True
2020-02-28,CHE,Switzerland,Aargau,47.410914,8.159107,1,0,0,1,0,0,False,False
2020-02-28,CHE,Switzerland,Basel Country,47.441812,7.7644,1,0,0,1,0,0,False,False
2020-02-28,CHE,Switzerland,Bern,46.825006,7.626925,1,0,0,1,0,0,False,False
2020-02-28,CHE,Switzerland,Geneva,46.217114,6.131255,3,0,0,3,2,0,False,False
2020-02-28,CHE,Switzerland,Ticino,46.297963,8.808447,1,0,0,1,0,0,False,False
2020-02-28,CHE,Switzerland,Valais,46.211633,7.611267,1,0,0,1,3,0,False,False
2020-02-28,CHE,Switzerland,Zurich,47.417407,8.655988,2,0,0,2,0,0,False,False
2020-02-28,GBR,United Kingdom,England,,,6,,,,,,False,True
2020-02-28,GBR,United Kingdom,London,51.497136,-0.100571,3,,,,,,False,True
2020-02-28,GBR,United Kingdom,Midlands,52.718351,-1.45667,1,,,,,,False,True
2020-02-28,GBR,United Kingdom,North East and Yorkshire,54.022719,-1.268789,2,,,,,,False,True
2020-02-28,GBR,United Kingdom,Northern Ireland,54.787715,-6.492314,1,,,,,,False,True
2020-02-28,GBR,United Kingdom,South East,51.291417,-0.521902,6,,,,,,False,True
