Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-04-19,ALB,Albania,Berat,40.6285,20.090775,6512,90,6363,59,9,0,False,False,AL031
2021-04-19,ALB,Albania,Dibër,,,2496,47,2131,318,2,0,False,False,AL011
2021-04-19,ALB,Albania,Durrës,41.518365,19.651766,10104,220,8866,1018,14,3,False,False,AL012
2021-04-19,ALB,Albania,Elbasan,41.040028,20.186454,8578,243,8142,193,9,2,False,False,AL021
2021-04-19,ALB,Albania,Fier,40.774633,19.620528,11315,233,8946,2136,17,1,False,False,AL032
2021-04-19,ALB,Albania,Gjirokastër,,,4710,58,3796,856,10,0,False,False,AL033
2021-04-19,ALB,Albania,Korçë,40.62883,20.666004,6364,108,5585,671,11,0,False,False,AL034
2021-04-19,ALB,Albania,Kukës,42.066696,20.419467,2819,34,2508,277,2,0,False,False,AL013
2021-04-19,ALB,Albania,Lezhë,41.801452,19.845695,6047,88,5935,24,6,1,False,False,AL014
2021-04-19,ALB,Albania,NOT SPECIFIED,,,,,,0,,,False,False,
2021-04-19,ALB,Albania,Shkodër,42.17682,19.719451,7190,129,6166,895,13,1,False,False,AL015
2021-04-19,ALB,Albania,Tiranë,41.268583,19.793936,54655,973,35371,18311,52,6,False,False,AL022
2021-04-19,ALB,Albania,Vlorë,40.162418,19.793592,8904,124,8362,418,14,0,False,False,AL035
2021-04-18,AND,Andorra,Andorra,42.542268,1.596865,12805,123,,12682,24,,False,False,AD
2021-04-18,AUT,Austria,Burgenland,47.541449,16.520206,17109,302,15900,907,38,25,True,True,AT11
2021-04-18,AUT,Austria,Kärnten,46.715832,14.455532,37028,778,33902,2348,69,12,True,True,AT21
2021-04-18,AUT,Austria,Niederösterreich,48.27051,15.763245,100342,1519,92025,6798,296,123,True,True,AT12
2021-04-18,AUT,Austria,NOT SPECIFIED,,,,,,0,,,True,True,
2021-04-18,AUT,Austria,Oberösterreich,48.138166,13.964295,107394,1536,98872,6986,204,67,True,True,AT31
2021-04-18,AUT,Austria,Salzburg,47.254051,13.032653,47080,562,44388,2130,75,24,True,True,AT32
2021-04-18,AUT,Austria,Steiermark,47.187361,15.518046,71656,1945,65827,3884,233,55,True,True,AT22
2021-04-18,AUT,Austria,Tirol,47.209023,11.397603,57576,662,54347,2567,85,37,True,True,AT33
2021-04-18,AUT,Austria,Vorarlberg,47.240149,9.896366,26332,285,24630,1417,19,9,True,True,AT34
2021-04-18,AUT,Austria,Wien,48.21141,16.380038,127535,2093,108821,16621,456,194,True,True,AT13
2021-04-19,BLR,Belarus,Belarus,53.711111,27.973847,345110,2433,,342677,,,False,False,BY
2021-04-18,BEL,Belgium,Brussels,50.836426,4.367415,117733,3020,,114713,499,151,True,True,BE1
2021-04-18,BEL,Belgium,Flanders,51.036569,4.234165,438981,12146,,426835,1435,453,True,True,BE2
2021-04-18,BEL,Belgium,NOT SPECIFIED,,,17915,0,,17915,0,0,True,True,
2021-04-18,BEL,Belgium,Wallonia,50.312074,5.019093,375367,8581,,366786,1066,329,True,True,BE3
2021-04-19,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,43.892652,17.670584,191154,7938,148146,35070,,,False,False,BA
2021-04-19,BGR,Bulgaria,Blagoevgrad,41.72282,23.424299,17234,10,10,17214,,,True,True,BG413
2021-04-19,BGR,Bulgaria,Burgas,42.491848,27.306892,25534,1,19,25514,,,True,True,BG341
2021-04-19,BGR,Bulgaria,Dobrich,43.65074,27.936751,7041,0,2,7039,,,True,True,BG332
2021-04-19,BGR,Bulgaria,Gabrovo,42.931879,25.247163,6142,1,2,6139,,,True,True,BG322
2021-04-19,BGR,Bulgaria,Haskovo,41.849113,25.942349,9144,1,7,9136,,,True,True,BG422
2021-04-19,BGR,Bulgaria,Kardzhali,41.527042,25.441477,4024,0,4,4020,,,True,True,BG425
2021-04-19,BGR,Bulgaria,Kyustendil,42.255307,22.869974,8427,3,20,8404,,,True,True,BG415
2021-04-19,BGR,Bulgaria,Lovech,43.035259,24.5688,5042,0,1,5041,,,True,True,BG315
2021-04-19,BGR,Bulgaria,Montana,43.496677,23.192363,5584,0,0,5584,,,True,True,BG312
2021-04-19,BGR,Bulgaria,NOT SPECIFIED,,,0,15050,305966,-321016,,,True,True,
2021-04-19,BGR,Bulgaria,Pazardzhik,42.133682,24.140941,10414,9,18,10387,,,True,True,BG423
2021-04-19,BGR,Bulgaria,Pernik,42.613861,22.853171,7375,0,1,7374,,,True,True,BG414
2021-04-19,BGR,Bulgaria,Pleven,43.486117,24.610919,12505,2,10,12493,,,True,True,BG314
2021-04-19,BGR,Bulgaria,Plovdiv,42.257364,24.824903,33441,5,64,33372,,,True,True,BG421
2021-04-19,BGR,Bulgaria,Razgrad,,,3458,0,0,3458,,,True,True,BG324
2021-04-19,BGR,Bulgaria,Ruse,43.54059,25.759217,12773,0,1,12772,,,True,True,BG323
2021-04-19,BGR,Bulgaria,Shumen,43.296516,27.004814,9089,1,1,9087,,,True,True,BG333
2021-04-19,BGR,Bulgaria,Silistra,43.946163,27.044927,5507,1,2,5504,,,True,True,BG325
2021-04-19,BGR,Bulgaria,Sliven,42.67034,26.241026,9686,11,56,9619,,,True,True,BG342
2021-04-19,BGR,Bulgaria,Smolyan,41.628892,24.668089,4350,4,33,4313,,,True,True,BG424
2021-04-19,BGR,Bulgaria,Sofia City,42.286287,23.616846,102324,56,411,101857,,,True,True,BG411
2021-04-19,BGR,Bulgaria,Sofia Region,,,12232,0,0,12232,,,True,True,BG412
2021-04-19,BGR,Bulgaria,Stara Zagora,42.411912,25.567329,16141,3,0,16138,,,True,True,BG344
2021-04-19,BGR,Bulgaria,Targovishte,,,3435,1,0,3434,,,True,True,BG334
2021-04-19,BGR,Bulgaria,Varna,43.186206,27.59493,28562,0,11,28551,,,True,True,BG331
2021-04-19,BGR,Bulgaria,Veliko Tarnovo,43.189524,25.649275,8522,4,5,8513,,,True,True,BG321
2021-04-19,BGR,Bulgaria,Vidin,43.797295,22.68621,2519,18,14,2487,,,True,True,BG311
2021-04-19,BGR,Bulgaria,Vratsa,43.395067,23.759152,9535,0,2,9533,,,True,True,BG313
2021-04-19,BGR,Bulgaria,Yambol,,,6341,14,18,6309,,,True,True,BG343
2021-04-19,HRV,Croatia,Bjelovarsko-bilogorska,45.739855,16.976657,6627,147,,6480,,,True,True,HR047
2021-04-19,HRV,Croatia,Brodsko-Posavska,45.142404,17.821388,10136,155,,9981,,,True,True,HR04A
2021-04-19,HRV,Croatia,Dubrovačko-neretvanska,42.662368,18.15083,7657,126,,7531,,,True,True,HR037
2021-04-19,HRV,Croatia,Grad Zagreb,45.742196,16.008116,58326,2017,,56309,,,True,True,HR041
2021-04-19,HRV,Croatia,Istarska,45.203521,13.895312,6822,110,,6712,,,True,True,HR036
2021-04-19,HRV,Croatia,Karlovačka,45.292126,15.46427,9116,348,,8768,,,True,True,HR04D
2021-04-19,HRV,Croatia,Koprivničko-križevačka,46.066232,16.571467,6868,194,,6674,,,True,True,HR045
2021-04-19,HRV,Croatia,Krapinsko-zagorska županija,46.09492,15.919072,10023,314,,9709,,,True,True,HR043
2021-04-19,HRV,Croatia,Ličko-senjska,44.69075,15.422344,3600,124,,3476,,,True,True,HR032
2021-04-19,HRV,Croatia,Međimurska,46.410728,16.508315,12314,168,,12146,,,True,True,HR046
2021-04-19,HRV,Croatia,NOT SPECIFIED,,,,,287787,-287787,,,True,True,
2021-04-19,HRV,Croatia,Osječko-baranjska,45.56139,18.442456,18300,781,,17519,,,True,True,HR04B
2021-04-19,HRV,Croatia,Požeško-slavonska,45.404899,17.562893,3334,95,,3239,,,True,True,HR049
2021-04-19,HRV,Croatia,Primorsko-Goranska,45.367738,14.701448,28424,372,,28052,,,True,True,HR031
2021-04-19,HRV,Croatia,Šibensko-kninska,43.89492,16.07332,8612,122,,8490,,,True,True,HR034
2021-04-19,HRV,Croatia,Sisačko-moslavačka,45.365583,16.424137,10104,113,,9991,,,True,True,HR04E
2021-04-19,HRV,Croatia,Splitsko-Dalmatinska,43.613438,16.730085,40458,549,,39909,,,True,True,HR035
2021-04-19,HRV,Croatia,Varaždinska,46.250434,16.293818,18153,426,,17727,,,True,True,HR044
2021-04-19,HRV,Croatia,Virovitičko-podravska,45.831646,17.385543,4050,86,,3964,,,True,True,HR048
2021-04-19,HRV,Croatia,Vukovarsko-srijemska,45.179126,18.877963,9224,168,,9056,,,True,True,HR04C
2021-04-19,HRV,Croatia,Zadarska,44.347845,15.959404,11733,176,,11557,,,True,True,HR033
2021-04-19,HRV,Croatia,Zagrebačka,45.82762,16.381796,24319,10,,24309,,,True,True,HR042
2021-04-18,CYP,Cyprus,Cyprus,35.167406,33.435499,57081,354,40929,15798,1430,,True,True,CY
2021-04-18,CZE,Czech Republic,NOT SPECIFIED,,,1602711,28532,1508982,65197,,,True,True,
2020-09-11,DNK,Denmark,Faroe,62.194921,-7.096614,0,0,,0,,,True,True,FRO
2020-09-11,DNK,Denmark,Greenland,71.702379,-42.177174,0,0,,0,,,True,True,GRL
2021-04-19,DNK,Denmark,Hovedstaden,55.675758,12.56902,,,,0,,,True,True,DK01
2021-04-19,DNK,Denmark,Mainland,56.031924,9.317572,,,,0,,,True,True,
2021-04-19,DNK,Denmark,Midtjylland,56.302139,9.302777,,,,0,,,True,True,DK04
2021-04-19,DNK,Denmark,Nordjylland,56.830742,9.493053,,,,0,,,True,True,DK05
2021-04-19,DNK,Denmark,NOT SPECIFIED,,,243374,2459,231628,9287,199,0,True,True,
