Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-07-13,ALB,Albania,41.156986,20.181222,3571,95,2014,1462,75,10,False,False,AL
2020-07-13,AND,Andorra,42.542268,1.596865,855,52,,,,,False,False,
2020-07-12,AUT,Austria,47.697542,13.349319,18871,682,16952,1237,187,12,True,True,AT
2020-07-13,BLR,Belarus,53.711111,27.973847,64932,464,,,,,False,False,
2020-07-11,BEL,Belgium,50.499527,4.475402,62707,9782,,,0,0,True,True,BE
2020-07-13,BIH,Bosnia and Herzegovina,43.892652,17.670584,3713,82,0,3631,,,False,False,
2020-07-13,BGR,Bulgaria,42.729862,25.491667,7252,268,3319,3665,,,True,True,BG
2020-07-13,HRV,Croatia,44.48732,16.460306,3776,119,0,3657,,,True,True,HR
2020-07-13,CYP,Cyprus,35.167406,33.435499,1021,19,,,,,True,True,CY0
2020-07-13,CZE,Czech Republic,49.800901,15.478153,13174,352,8246,4576,,,True,True,CZ
2020-07-13,DNK,Denmark,56.155403,11.617223,13037,610,,,,,True,True,DK
2020-07-13,EST,Estonia,58.596209,25.023778,2014,69,0,1945,,,True,True,EE
2020-07-13,FIN,Finland,64.952416,26.068944,7317,0,0,7317,0,0,True,True,FI
2020-07-10,FRA,France,46.232193,2.209667,170752,19528,78388,72836,7062,496,True,True,FR
2020-07-13,DEU,Germany,51.165706,10.452764,198965,9064,185100,4801,,,True,True,DE
2020-07-13,GRC,Greece,38.275283,23.810343,3673,193,0,3480,0,0,True,True,EL
2020-07-13,HUN,Hungary,47.164638,19.508944,4247,595,3073,579,127,5,True,True,HU
2020-07-13,ISL,Iceland,64.963942,-19.021169,3710,10,,,,,False,True,IS
2020-07-13,IRL,Ireland,53.41975,-8.240472,25628,1746,,,,,True,True,IE
2020-07-13,ITA,Italy,41.873987,12.564167,243230,34967,195106,13157,833,65,True,True,IT
2020-07-13,LVA,Latvia,56.875584,24.607722,1173,30,,,,,True,True,LV
2020-07-13,LIE,Liechtenstein,47.164696,9.555,85,1,0,84,,,False,False,LI
2020-07-13,LTU,Lithuania,55.174112,23.906736,1869,79,,,,,True,True,LT
2020-07-13,LUX,Luxembourg,49.815764,6.131514,4956,111,969,3876,34,4,True,True,LU
2020-07-12,MLT,Malta,35.946151,14.384612,0,660,674,-1334,,,True,True,MT
2020-07-13,MDA,Moldova,46.979527,28.377195,19382,642,,,,,False,False,
2020-07-13,MCO,Monaco,43.738348,7.424451,109,5,,,,,False,False,
2020-07-13,MNE,Montenegro,42.710152,19.410069,1221,23,,,,,False,True,ME
2020-07-11,NLD,Netherlands,52.133057,5.29525,50939,6132,0,44807,11891,0,True,True,NL
2020-07-13,MKD,North Macedonia,41.611,21.751417,8111,382,,,,,False,True,MK
2020-07-13,NOR,Norway,64.583013,17.86411,8982,253,0,8729,964,226,False,True,NO
2020-07-13,POL,Poland,51.92275,19.136875,38190,1576,,,,,True,True,PL
2020-07-13,PRT,Portugal,39.553444,-7.839319,46839,1662,31065,14112,467,63,True,True,PT
2020-07-13,ROU,Romania,45.947125,24.980514,32862,1884,,,,,True,True,RO
2020-07-13,RUS,Russian Fed.,61.523111,-74.9,733699,13555,504021,216123,0,0,False,False,
2020-07-13,SMR,San Marino,43.942973,12.460035,714,42,,,,,False,False,
2020-07-13,SRB,Serbia,44.206802,20.911009,18360,393,,,,,False,True,RS
2020-07-13,SVK,Slovakia,48.665639,19.709097,1902,28,1493,381,13,3,True,True,SK
2020-07-12,SVN,Slovenia,46.145528,14.974541,3060,111,312,2637,17,1,True,True,SI
2020-07-13,ESP,Spain,39.896027,-2.487694,255953,28406,,,125751,11716,True,True,ES
2020-07-13,SWE,Sweden,62.199806,17.637493,75826,5536,,,,2475,True,True,SE
2020-07-13,CHE,Switzerland,46.815514,8.224472,32587,1967,6163,24457,105,15,False,False,CH
2020-07-13,TUR,Turkey,38.961516,35.25175,212993,5363,,,,,False,True,TUR
2020-07-13,UKR,Ukraine,48.379888,31.168139,54133,1398,,,,,False,False,
2020-07-12,GBR,United Kingdom,54.633221,-3.432277,290477,44819,0,245658,,,False,True,UK
