Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-05,AUT,Austria,47.697542,13.349319,41,,,,,,True,True
2020-03-04,CYP,Cyprus,35.167406,33.435499,744,14,0,730,0,0,True,True
2020-03-05,FRA,France,46.232193,2.209667,426,7,0,419,0,23,True,True
2020-03-05,DEU,Germany,51.165706,10.452764,402,,,,,,True,True
2020-03-05,HUN,Hungary,47.164638,19.508944,4,0,0,4,0,0,True,True
2020-03-05,ITA,Italy,41.873987,12.564167,3858,148,414,3296,2141,351,True,True
2020-02-20,LVA,Latvia,56.875584,24.607722,-1,0,0,-1,,,True,True
2020-03-05,LIE,Liechtenstein,47.164696,9.555,1,0,0,1,,,False,False
2020-03-05,PRT,Portugal,39.553444,-7.839319,9,,,,,,True,True
2020-03-05,ESP,Spain,39.896027,-2.487694,237,3,22,212,0,9,True,True
2020-03-05,CHE,Switzerland,46.815514,8.224472,101,0,0,101,9,0,False,False
