Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-06-09,ALB,Albania,41.156986,20.181222,1299,34,960,305,35,6,False,False
2020-06-10,AND,Andorra,42.542268,1.596865,852,51,0,801,0,0,False,False
2020-06-10,AUT,Austria,47.697542,13.349319,16953,646,15875,432,187,23,True,True
2020-06-10,BLR,Belarus,53.711111,27.973847,50265,282,0,49983,0,0,False,False
2020-06-10,BEL,Belgium,50.499527,4.475402,59569,9629,0,49940,17493,0,True,True
2020-06-09,BIH,Bosnia and Herzegovina,43.892652,17.670584,1176,40,0,1136,0,0,False,False
2020-06-10,BGR,Bulgaria,42.729862,25.491667,2889,167,1623,1099,0,0,True,True
2020-06-09,HRV,Croatia,44.48732,16.460306,2248,104,0,2144,0,0,True,True
2020-06-10,CYP,Cyprus,35.167406,33.435499,972,18,0,954,0,0,True,True
2020-06-10,CZE,Czech Republic,49.800901,15.478153,9763,330,7057,2376,0,0,True,True
2020-06-08,DNK,Denmark,56.155403,11.617223,12088,593,0,11495,0,0,True,True
2020-06-09,EST,Estonia,58.596209,25.023778,1947,69,0,1878,0,0,True,True
2020-06-10,FIN,Finland,64.952416,26.068944,7062,0,0,7062,0,0,True,True
2020-06-09,FRA,France,46.232193,2.209667,154591,18912,71506,64173,11961,955,True,True
2020-06-10,DEU,Germany,51.165706,10.452764,184863,8729,170700,5434,0,0,True,True
2020-06-09,GRC,Greece,38.275283,23.810343,3050,182,270,2598,330,0,True,True
2020-06-10,HUN,Hungary,47.164638,19.508944,4027,551,2355,1121,344,20,True,True
2020-06-09,ISL,Iceland,64.963942,-19.021169,1807,0,0,1807,0,0,False,True
2020-06-10,IRL,Ireland,53.41975,-8.240472,25215,1691,0,23524,0,0,True,True
2020-06-09,ITA,Italy,41.873987,12.564167,235561,34043,168646,32872,4844,263,True,True
2020-06-10,LVA,Latvia,56.875584,24.607722,1089,26,0,1063,0,0,True,True
2020-06-10,LIE,Liechtenstein,47.164696,9.555,83,1,0,82,0,0,False,False
2020-06-10,LTU,Lithuania,55.174112,23.906736,1727,72,0,1655,0,0,True,True
2020-06-09,LUX,Luxembourg,49.815764,6.131514,4046,110,935,3001,27,2,True,True
2020-06-09,MLT,Malta,35.946151,14.384612,632,9,597,26,0,0,True,True
2020-06-10,MDA,Moldova,46.979527,28.377195,10025,365,0,9660,0,0,False,False
2020-06-10,MCO,Monaco,43.738348,7.424451,99,5,0,94,0,0,False,False
2020-06-10,MNE,Montenegro,42.710152,19.410069,324,9,0,315,0,0,False,True
2020-06-09,NLD,Netherlands,52.133057,5.29525,47903,6031,0,41872,11800,0,True,True
2020-06-10,MKD,North Macedonia,41.611,21.751417,3242,157,0,3085,0,0,False,True
2020-06-09,NOR,Norway,64.583013,17.86411,8563,239,0,8324,886,218,False,True
2020-06-09,POL,Poland,51.92275,19.136875,27560,1183,0,26377,0,0,True,True
2020-06-09,PRT,Portugal,39.553444,-7.839319,35327,1492,21339,12496,394,65,True,True
2020-06-10,ROU,Romania,45.947125,24.980514,20749,1355,14910,4484,0,0,True,True
2020-06-09,RUS,Russian Fed.,61.523111,-74.9,485253,8257,242397,234599,0,0,False,False
2020-06-10,SMR,San Marino,43.942973,12.460035,688,42,0,646,0,0,False,False
2020-06-10,SRB,Serbia,44.206802,20.911009,11965,250,0,11715,0,0,False,True
2020-06-10,SVK,Slovakia,48.665639,19.709097,1533,28,1404,101,28,0,True,True
2020-06-09,SVN,Slovenia,46.145528,14.974541,2699,109,294,2296,6,0,True,True
2020-06-09,ESP,Spain,39.896027,-2.487694,241966,27136,0,214830,124407,11614,True,True
2020-06-09,SWE,Sweden,62.199806,17.637493,45924,4717,0,41207,0,2209,True,True
2020-06-10,CHE,Switzerland,46.815514,8.224472,30962,1922,5522,23518,275,37,False,False
2020-06-10,TUR,Turkey,38.961516,35.25175,172114,4729,0,167385,0,0,False,True
2020-06-09,UKR,Ukraine,48.379888,31.168139,27856,810,12412,14634,0,0,False,False
2020-06-09,GBR,United Kingdom,54.633221,-3.432277,289140,40883,0,248257,0,0,False,True
