Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-09-15,ALB,Albania,41.156986,20.181222,11672,340,6668,4664,153,18,False,False,AL
2020-09-15,AND,Andorra,42.542268,1.596865,1438,53,,,,,False,False,AD
2020-07-13,ARM,Armenia,40.066181,45.111108,32490,581,20729,11180,1885,273,False,False,AM
2020-09-15,AUT,Austria,47.697542,13.349319,34287,739,27354,6194,561,69,True,True,AT
2020-09-15,BLR,Belarus,53.711111,27.973847,74360,756,,,,,False,False,BY
2020-09-13,BEL,Belgium,50.499527,4.475402,94306,9926,,,292,71,True,True,BE
2020-09-15,BIH,Bosnia and Herzegovina,43.892652,17.670584,23630,698,,,,,False,False,BA
2020-09-15,BGR,Bulgaria,42.729862,25.491667,18061,729,12930,4402,,,True,True,BG
2020-09-15,HRV,Croatia,44.48732,16.460306,13750,230,0,13520,,,True,True,HR
2020-09-15,CYP,Cyprus,35.167406,33.435499,1534,22,,,,,True,True,CY0
2020-09-15,CZE,Czech Republic,49.800901,15.478153,37222,465,22129,14628,,,True,True,CZ
2020-09-11,DNK,Denmark,56.155403,11.617223,19216,629,,,,,True,True,DK
2020-09-15,EST,Estonia,58.596209,25.023778,2698,64,,,,,True,True,EE
2020-09-15,FIN,Finland,64.952416,26.068944,8747,0,0,8747,0,0,True,True,FI
2020-09-15,FRA,France,46.232193,2.209667,395104,20471,89891,284742,5679,759,True,True,FR
2020-09-15,DEU,Germany,51.165706,10.452764,261764,9362,234600,17802,,,True,True,DE
2020-09-15,GRC,Greece,38.275283,23.810343,13420,310,,,,,True,True,EL
2020-09-14,HUN,Hungary,47.164638,19.508944,13153,642,4117,8394,187,16,True,True,HU
2020-09-15,ISL,Iceland,64.963942,-19.021169,2168,10,,,,,False,True,IS
2020-09-15,IRL,Ireland,53.41975,-8.240472,31192,1784,,,,,True,True,IE
2020-09-15,ITA,Italy,41.873987,12.564167,289990,35633,214645,39712,2423,201,True,True,IT
2020-09-15,LVA,Latvia,56.875584,24.607722,1477,35,,,,,True,True,LV
2020-09-15,LIE,Liechtenstein,47.164696,9.555,111,1,0,110,,,False,False,LI
2020-09-15,LTU,Lithuania,55.174112,23.906736,3386,87,,,,,True,True,LT
2020-09-15,LUX,Luxembourg,49.815764,6.131514,7244,124,,,,,True,True,LU
2020-09-15,MLT,Malta,35.946151,14.384612,2454,16,1931,507,,,True,True,MT
2020-09-15,MDA,Moldova,46.979527,28.377195,43207,1130,,,,,False,False,MD
2020-09-15,MCO,Monaco,43.738348,7.424451,177,1,,,,,False,False,
2020-09-15,MNE,Montenegro,42.710152,19.410069,6900,121,,,,,False,True,ME
2020-09-15,NLD,Netherlands,52.133057,5.29525,84778,12396,0,72382,24209,0,True,True,NL
2020-09-15,MKD,North Macedonia,41.611,21.751417,15791,648,,,,,False,True,MK
2020-09-15,NOR,Norway,64.583013,17.86411,12277,265,0,12012,1067,234,False,True,NO
2020-09-15,POL,Poland,51.92275,19.136875,75134,2227,,,,,True,True,PL
2020-09-15,PRT,Portugal,39.553444,-7.839319,65042,1875,44362,18805,478,59,True,True,PT
2020-09-15,ROU,Romania,45.947125,24.980514,105186,4236,,,,,True,True,RO
2020-09-15,RUS,Russian Fed.,61.523111,-74.9,1073849,20901,884305,168643,0,0,False,False,
2020-09-15,SMR,San Marino,43.942973,12.460035,722,42,,,,,False,False,SM
2020-09-15,SRB,Serbia,44.206802,20.911009,32437,733,,,,,False,True,RS
2020-09-15,SVK,Slovakia,48.665639,19.709097,5768,38,3214,2516,141,13,True,True,SK
2020-09-14,SVN,Slovenia,46.145528,14.974541,3831,135,421,3275,50,10,True,True,SI
2020-09-14,ESP,Spain,39.896027,-2.487694,593730,29848,,,140323,12803,True,True,ES
2020-09-14,SWE,Sweden,62.199806,17.637493,87345,5851,,,,2586,True,True,SE
2020-09-15,CHE,Switzerland,46.815514,8.224472,47634,2029,7146,38459,157,15,False,False,CH
2020-09-15,TUR,Turkey,38.961516,35.25175,292878,7119,,,,,False,True,TR
2020-09-15,UKR,Ukraine,48.379888,31.168139,156797,3211,,,,,False,False,UA
2020-09-15,GBR,United Kingdom,54.633221,-3.432277,374238,41664,0,332574,,,False,True,UK
