Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-04-04,ALB,Albania,41.156986,20.181222,333,19,0,314,0,0,False,False
2020-04-04,AND,Andorra,42.542268,1.596865,439,16,0,423,0,0,False,False
2020-04-04,AUT,Austria,47.697542,13.349319,11665,0,0,11665,0,0,True,True
2020-04-04,BLR,Belarus,53.711111,27.973847,351,4,0,347,0,0,False,False
2020-04-04,BIH,Bosnia and Herzegovina,43.892652,17.670584,320,14,0,306,0,0,False,False
2020-04-03,BGR,Bulgaria,42.729862,25.491667,489,14,0,475,0,0,True,True
2020-04-04,HRV,Croatia,44.48732,16.460306,1127,12,0,1115,0,0,True,True
2020-04-04,CYP,Cyprus,35.167406,33.435499,426,13,0,413,0,0,True,True
2020-04-04,CZE,Czech Republic,49.800901,15.478153,4194,53,0,4141,0,0,True,True
2020-04-04,DNK,Denmark,56.155403,11.617223,5128,161,0,4967,0,0,True,True
2020-04-04,EST,Estonia,58.596209,25.023778,1018,13,0,1005,0,0,True,True
2020-04-03,FIN,Finland,64.952416,26.068944,2662,0,0,2662,0,0,True,True
2020-04-04,FRA,France,46.232193,2.209667,68605,5532,15438,47635,28143,6838,True,True
2020-04-04,DEU,Germany,51.165706,10.452764,85780,1353,0,84427,0,0,True,True
2020-04-04,GRC,Greece,38.275283,23.810343,1621,67,0,1554,0,0,True,True
2020-04-04,HUN,Hungary,47.164638,19.508944,1117,32,0,1085,0,0,True,True
2020-04-04,ISL,Iceland,64.963942,-19.021169,1417,0,0,1417,0,0,False,True
2020-04-04,IRL,Ireland,53.41975,-8.240472,4273,120,0,4153,0,0,True,True
2020-04-04,ITA,Italy,41.873987,12.564167,124632,15362,20996,88274,33004,3994,True,True
2020-04-04,LVA,Latvia,56.875584,24.607722,493,1,0,492,0,0,True,True
2020-04-04,LIE,Liechtenstein,47.164696,9.555,75,0,0,75,0,0,False,False
2020-04-04,LTU,Lithuania,55.174112,23.906736,771,9,0,762,0,0,True,True
2020-04-04,LUX,Luxembourg,49.815764,6.131514,2729,31,0,2698,0,0,True,True
2020-04-04,MLT,Malta,35.946151,14.384612,213,0,2,211,0,0,True,True
2020-04-04,MDA,Moldova,46.979527,28.377195,591,8,0,583,0,0,False,False
2020-04-04,MCO,Monaco,43.738348,7.424451,66,1,0,65,0,0,False,False
2020-04-04,MNE,Montenegro,42.710152,19.410069,174,2,0,172,0,0,False,True
2020-04-04,MKD,North Macedonia,41.611,21.751417,430,12,0,418,0,0,False,True
2020-04-04,NOR,Norway,64.583013,17.86411,5418,50,0,5368,0,0,False,True
2020-04-04,POL,Poland,51.92275,19.136875,3627,79,0,3548,0,0,True,True
2020-04-04,PRT,Portugal,39.553444,-7.839319,10545,266,0,10279,0,0,True,True
2020-04-04,ROU,Romania,45.947125,24.980514,3455,458,0,2997,0,0,True,True
2020-04-04,RUS,Russian Fed.,61.523111,-74.9,4171,34,0,4137,0,0,False,False
2020-04-04,SMR,San Marino,43.942973,12.460035,251,32,0,219,0,0,False,False
2020-04-04,SRB,Serbia,44.206802,20.911009,1476,39,0,1437,0,0,False,True
2020-04-04,SVK,Slovakia,48.665639,19.709097,485,1,0,484,0,0,True,True
2020-04-04,SVN,Slovenia,46.145528,14.974541,1767,12,0,1755,0,0,True,True
2020-04-04,ESP,Spain,39.896027,-2.487694,124736,11744,34219,78773,57612,6532,True,True
2020-04-04,SWE,Sweden,62.199806,17.637493,6443,373,0,6070,0,520,True,True
2020-04-04,CHE,Switzerland,46.815514,8.224472,20866,688,1902,18276,2300,398,False,False
2020-04-04,TUR,Turkey,38.961516,35.25175,23934,501,0,23433,0,0,False,True
2020-04-04,UKR,Ukraine,48.379888,31.168139,1097,28,0,1069,0,0,False,False
