Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-04-08,ALB,Albania,41.156986,20.181222,127509,2297,96129,29083,231,16,False,False,AL
2021-04-09,AND,Andorra,42.542268,1.596865,12456,120,,,41,,False,False,AD
2021-04-08,AUT,Austria,47.697542,13.349319,568246,9366,509406,49474,1807,579,True,True,AT
2021-04-09,BLR,Belarus,53.711111,27.973847,333430,2334,,,,,False,False,BY
2021-04-08,BEL,Belgium,50.499527,4.475402,913057,23348,,,3128,911,True,True,BE
2021-04-09,BIH,Bosnia and Herzegovina,43.892652,17.670584,181927,7298,139419,35210,,,False,False,BA
2021-04-10,BGR,Bulgaria,42.729862,25.491667,370179,14308,284869,71002,,,True,True,BG
2021-04-06,HRV,Croatia,44.48732,16.460306,280899,6113,263758,11028,,,True,True,HR
2021-04-08,CYP,Cyprus,35.167406,33.435499,50589,327,39061,11201,1298,,True,True,CY
2021-04-08,CZE,Czech Republic,49.800901,15.478153,1573153,27617,1437295,108241,,,True,True,CZ
2021-04-09,DNK,Denmark,56.155403,11.617223,236346,2436,225255,8655,221,0,True,True,DK
2021-04-09,EST,Estonia,58.596209,25.023778,113098,1006,,,,,True,True,EE
2021-04-09,FIN,Finland,64.952416,26.068944,81263,846,0,80417,,,True,True,FI
2021-04-08,FRA,France,46.232193,2.209667,5000155,71944,305711,4622500,30555,5705,True,True,FR
2021-04-07,DEU,Germany,51.165706,10.452764,2910447,77401,2614500,218546,,,True,True,DE
2021-04-08,GRC,Greece,38.275283,23.810343,288230,8680,93764,185786,,,True,True,EL
2021-04-09,HUN,Hungary,47.164638,19.508944,705815,22966,420275,262574,11363,1364,True,True,HU
2021-04-08,ISL,Iceland,64.963942,-19.021169,6256,29,61117,-54890,,,False,True,IS
2021-04-08,IRL,Ireland,53.41975,-8.240472,239723,4737,,,13760,1447,True,True,IE
2021-04-09,ITA,Italy,41.873987,12.564167,3736526,113579,3086586,536361,31749,3603,True,True,IT
2021-03-28,XKX,Kosovo,41.85637,21.803351,93655,1915,,,,,False,False,XK
2021-04-09,LVA,Latvia,56.875584,24.607722,106574,1981,,,,,True,True,LV
2021-04-08,LIE,Liechtenstein,47.164696,9.555,2714,56,2605,53,,,False,False,LI
2021-04-08,LTU,Lithuania,55.174112,23.906736,224309,3660,204340,16309,,,True,True,LT
2021-04-07,LUX,Luxembourg,49.815764,6.131514,63180,762,,,,,True,True,LU
2021-04-09,MLT,Malta,35.946151,14.384612,29511,401,28561,549,,,True,True,MT
2021-04-09,MDA,Moldova,46.979527,28.377195,240056,5339,220881,13836,,,False,False,MD
2021-04-08,MCO,Monaco,43.738348,7.424451,2364,30,2213,121,,,False,False,MC
2021-04-09,MNE,Montenegro,42.710152,19.410069,93803,1354,,,518,,False,True,ME
2021-04-09,NLD,Netherlands,52.133057,5.29525,1334771,22869,0,1311902,38986,0,True,True,NL
2021-04-08,MKD,North Macedonia,41.611,21.751417,138891,4108,112619,22164,,,False,True,MK
2021-04-09,NOR,Norway,64.583013,17.86411,100196,684,0,99512,3753,715,False,True,NO
2021-04-09,POL,Poland,51.92275,19.136875,2528006,57427,2107776,362803,,,True,True,PL
2021-04-08,PRT,Portugal,39.553444,-7.839319,825654,16899,782895,25860,495,122,True,True,PT
2021-04-07,ROU,Romania,45.947125,24.980514,988624,24561,,,,,True,True,RO
2021-04-09,RUS,Russian Fed.,61.523111,-74.9,4623984,104363,4248700,270921,0,0,False,False,RU
2021-04-08,SMR,San Marino,43.942973,12.460035,4932,85,4411,436,,,False,False,SM
2021-04-08,SRB,Serbia,44.206802,20.911009,633013,5620,0,627393,,,False,True,RS
2021-04-09,SVK,Slovakia,48.665639,19.709097,369393,10411,,,2453,228,True,True,SK
2021-04-08,SVN,Slovenia,46.145528,14.974541,224693,4387,11898,208408,618,139,True,True,SI
2021-04-08,ESP,Spain,39.896027,-2.487694,3336637,76179,,,335065,30391,True,True,ES
2021-04-08,SWE,Sweden,62.199806,17.637493,857401,13621,,,,6213,True,True,SE
2021-04-09,CHE,Switzerland,46.815514,8.224472,611678,10493,84310,516875,1026,172,False,False,CH
2021-04-09,TUR,Turkey,38.961516,35.25175,3745657,33454,3268678,443525,,,False,True,TR
2021-04-09,UKR,Ukraine,48.379888,31.168139,1823674,36381,1395104,392189,,,False,False,UA
2021-04-08,GBR,United Kingdom,54.633221,-3.432277,4370331,126980,0,4243351,,,False,True,UK
