Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-06-07,ALB,Albania,41.156986,20.181222,1232,34,925,273,21,6,False,False
2020-06-07,AND,Andorra,42.542268,1.596865,852,51,0,801,0,0,False,False
2020-06-08,AUT,Austria,47.697542,13.349319,16875,645,15793,437,187,23,True,True
2020-06-07,BLR,Belarus,53.711111,27.973847,47751,263,0,47488,0,0,False,False
2020-06-07,BEL,Belgium,50.499527,4.475402,59226,9595,0,49631,17433,0,True,True
2020-06-07,BIH,Bosnia and Herzegovina,43.892652,17.670584,1138,39,0,1099,0,0,False,False
2020-06-08,BGR,Bulgaria,42.729862,25.491667,2612,160,1528,924,0,0,True,True
2020-06-07,HRV,Croatia,44.48732,16.460306,2248,104,0,2144,0,0,True,True
2020-06-07,CYP,Cyprus,35.167406,33.435499,960,18,0,942,0,0,True,True
2020-06-08,CZE,Czech Republic,49.800901,15.478153,9629,328,6896,2405,0,0,True,True
2020-06-04,DNK,Denmark,56.155403,11.617223,11935,582,0,11353,0,0,True,True
2020-06-07,EST,Estonia,58.596209,25.023778,1939,69,0,1870,0,0,True,True
2020-06-07,FIN,Finland,64.952416,26.068944,7003,0,0,7003,0,0,True,True
2020-06-07,FRA,France,46.232193,2.209667,153977,18805,70842,64330,12461,1053,True,True
2020-06-08,DEU,Germany,51.165706,10.452764,184195,8674,169600,5921,0,0,True,True
2020-06-07,GRC,Greece,38.275283,23.810343,2938,179,270,2489,330,0,True,True
2020-06-08,HUN,Hungary,47.164638,19.508944,4014,548,2284,1182,385,21,True,True
2020-06-07,ISL,Iceland,64.963942,-19.021169,1807,0,0,1807,0,0,False,True
2020-06-07,IRL,Ireland,53.41975,-8.240472,25183,1670,0,23513,0,0,True,True
2020-06-07,ITA,Italy,41.873987,12.564167,234998,33899,165837,35262,5151,287,True,True
2020-06-07,LVA,Latvia,56.875584,24.607722,1086,25,0,1061,0,0,True,True
2020-06-07,LIE,Liechtenstein,47.164696,9.555,83,1,0,82,0,0,False,False
2020-06-07,LTU,Lithuania,55.174112,23.906736,1705,71,0,1634,0,0,True,True
2020-06-07,LUX,Luxembourg,49.815764,6.131514,4039,110,934,2995,23,1,True,True
2020-06-07,MLT,Malta,35.946151,14.384612,629,9,596,24,0,0,True,True
2020-06-07,MDA,Moldova,46.979527,28.377195,9511,331,0,9180,0,0,False,False
2020-06-07,MCO,Monaco,43.738348,7.424451,99,5,0,94,0,0,False,False
2020-06-07,MNE,Montenegro,42.710152,19.410069,324,9,0,315,0,0,False,True
2020-06-07,NLD,Netherlands,52.133057,5.29525,47574,6013,0,41561,11789,0,True,True
2020-06-07,MKD,North Macedonia,41.611,21.751417,2917,151,0,2766,0,0,False,True
2020-06-05,NOR,Norway,64.583013,17.86411,8504,238,0,8266,883,219,False,True
2020-06-07,POL,Poland,51.92275,19.136875,26561,1157,0,25404,0,0,True,True
2020-06-07,PRT,Portugal,39.553444,-7.839319,34714,1479,20995,12240,398,58,True,True
2020-06-07,ROU,Romania,45.947125,24.980514,20479,1333,14638,4508,0,0,True,True
2020-06-07,RUS,Russian Fed.,61.523111,-74.9,467673,7975,226731,232967,0,0,False,False
2020-06-07,SMR,San Marino,43.942973,12.460035,695,42,0,653,0,0,False,False
2020-06-07,SRB,Serbia,44.206802,20.911009,11741,248,0,11493,0,0,False,True
2020-06-08,SVK,Slovakia,48.665639,19.709097,1530,28,1396,106,37,0,True,True
2020-06-06,SVN,Slovenia,46.145528,14.974541,2696,109,294,2293,5,0,True,True
2020-06-07,ESP,Spain,39.896027,-2.487694,241550,27136,0,214414,124323,11608,True,True
2020-06-07,SWE,Sweden,62.199806,17.637493,44730,4659,0,40071,0,2173,True,True
2020-06-08,CHE,Switzerland,46.815514,8.224472,30962,1922,5522,23518,282,37,False,False
2020-06-07,TUR,Turkey,38.961516,35.25175,169218,4669,0,164549,0,0,False,True
2020-06-07,UKR,Ukraine,48.379888,31.168139,26999,788,12054,14157,0,0,False,False
2020-06-06,GBR,United Kingdom,54.633221,-3.432277,284868,40465,0,244403,0,0,False,True
