Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-04-13,ALB,Albania,41.156986,20.181222,467,24,0,443,0,0,False,False
2020-04-15,AND,Andorra,42.542268,1.596865,659,31,0,628,0,0,False,False
2020-04-15,AUT,Austria,47.697542,13.349319,14246,0,0,14246,0,0,True,True
2020-04-15,BLR,Belarus,53.711111,27.973847,3281,33,0,3248,0,0,False,False
2020-04-15,BEL,Belgium,50.499527,4.475402,33962,4440,0,29522,0,0,True,True
2020-04-14,BIH,Bosnia and Herzegovina,43.892652,17.670584,612,24,0,588,0,0,False,False
2020-04-14,BGR,Bulgaria,42.729862,25.491667,716,33,0,683,0,0,True,True
2020-04-15,HRV,Croatia,44.48732,16.460306,1742,33,0,1709,0,0,True,True
2020-04-15,CYP,Cyprus,35.167406,33.435499,695,17,0,678,0,0,True,True
2020-04-15,CZE,Czech Republic,49.800901,15.478153,6151,163,676,5312,0,0,True,True
2020-04-14,DNK,Denmark,56.155403,11.617223,6691,299,0,6392,0,0,True,True
2020-04-14,EST,Estonia,58.596209,25.023778,1373,31,0,1342,0,0,True,True
2020-04-15,FIN,Finland,64.952416,26.068944,3259,0,0,3259,0,0,True,True
2020-04-15,FRA,France,46.232193,2.209667,106206,10643,30995,64568,31779,6457,True,True
2020-04-15,DEU,Germany,51.165706,10.452764,127586,3254,72600,51732,0,0,True,True
2020-04-15,GRC,Greece,38.275283,23.810343,2192,102,0,2090,0,0,True,True
2020-04-15,HUN,Hungary,47.164638,19.508944,1579,134,0,1445,0,0,True,True
2020-04-15,ISL,Iceland,64.963942,-19.021169,1727,0,0,1727,0,0,False,True
2020-04-15,IRL,Ireland,53.41975,-8.240472,11479,406,0,11073,0,0,True,True
2020-04-15,ITA,Italy,41.873987,12.564167,165155,21645,38092,105418,30722,3079,True,True
2020-04-15,LVA,Latvia,56.875584,24.607722,657,5,0,652,0,0,True,True
2020-04-15,LIE,Liechtenstein,47.164696,9.555,81,1,0,80,0,0,False,False
2020-04-15,LTU,Lithuania,55.174112,23.906736,1070,24,0,1046,0,0,True,True
2020-04-15,LUX,Luxembourg,49.815764,6.131514,3373,69,526,2778,158,33,True,True
2020-04-15,MLT,Malta,35.946151,14.384612,399,3,44,352,0,0,True,True
2020-04-15,MDA,Moldova,46.979527,28.377195,1934,40,0,1894,0,0,False,False
2020-04-15,MCO,Monaco,43.738348,7.424451,93,2,0,91,0,0,False,False
2020-04-15,MNE,Montenegro,42.710152,19.410069,283,4,0,279,0,0,False,True
2020-04-15,MKD,North Macedonia,41.611,21.751417,908,44,0,864,0,0,False,True
2020-04-15,NOR,Norway,64.583013,17.86411,6678,130,0,6548,0,0,False,True
2020-04-15,POL,Poland,51.92275,19.136875,7582,286,0,7296,0,0,True,True
2020-04-15,PRT,Portugal,39.553444,-7.839319,18112,599,0,17513,0,0,True,True
2020-04-14,ROU,Romania,45.947125,24.980514,6879,0,0,6879,0,0,True,True
2020-04-15,RUS,Russian Fed.,61.523111,-74.9,24496,198,0,24298,0,0,False,False
2020-04-15,SMR,San Marino,43.942973,12.460035,372,36,0,336,0,0,False,False
2020-04-15,SRB,Serbia,44.206802,20.911009,4054,84,0,3970,0,0,False,True
2020-04-12,SVK,Slovakia,48.665639,19.709097,769,0,0,769,0,0,True,True
2020-04-15,SVN,Slovenia,46.145528,14.974541,3294,73,9,3212,99,31,True,True
2020-04-15,ESP,Spain,39.896027,-2.487694,177633,18579,70853,88201,76121,7871,True,True
2020-04-15,SWE,Sweden,62.199806,17.637493,11927,1203,0,10724,0,954,True,True
2020-04-15,CHE,Switzerland,46.815514,8.224472,26177,1214,3605,21358,1844,350,False,False
2020-04-15,TUR,Turkey,38.961516,35.25175,69392,1518,0,67874,0,0,False,True
2020-04-15,UKR,Ukraine,48.379888,31.168139,3764,108,0,3656,0,0,False,False
