Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-11-09,ALB,Albania,41.156986,20.181222,24731,571,12203,11957,350,10,False,False,AL
2020-11-10,AND,Andorra,42.542268,1.596865,5437,75,,,,,False,False,AD
2020-11-09,AUT,Austria,47.697542,13.349319,162051,1418,78122,82511,2755,473,True,True,AT
2020-11-10,BLR,Belarus,53.711111,27.973847,107262,1011,,,,,False,False,BY
2020-11-09,BEL,Belgium,50.499527,4.475402,503182,13216,,,7217,1474,True,True,BE
2020-11-10,BIH,Bosnia and Herzegovina,43.892652,17.670584,63419,1583,,,,,False,False,BA
2020-11-10,BGR,Bulgaria,42.729862,25.491667,78976,1771,25283,51922,,,True,True,BG
2020-11-10,HRV,Croatia,44.48732,16.460306,70244,865,0,69379,,,True,True,HR
2020-11-10,CYP,Cyprus,35.167406,33.435499,6098,28,,,,,True,True,CY
2020-11-09,CZE,Czech Republic,49.800901,15.478153,420875,5074,260542,155259,,,True,True,CZ
2020-11-10,DNK,Denmark,56.155403,11.617223,56958,750,42249,13959,211,33,True,True,DK
2020-11-10,EST,Estonia,58.596209,25.023778,6250,76,,,,,True,True,EE
2020-11-10,FIN,Finland,64.952416,26.068944,18109,354,0,17755,,,True,True,FI
2020-11-09,FRA,France,46.232193,2.209667,1807479,28478,129735,1649266,31125,4690,True,True,FR
2020-11-10,DEU,Germany,51.165706,10.452764,687202,11506,441200,234496,,,True,True,DE
2020-11-10,GRC,Greece,38.275283,23.810343,58187,825,,,,,True,True,EL
2020-11-10,HUN,Hungary,47.164638,19.508944,118918,2596,27585,88737,6153,461,True,True,HU
2020-11-10,ISL,Iceland,64.963942,-19.021169,5101,23,,,,,False,True,IS
2020-11-10,IRL,Ireland,53.41975,-8.240472,65659,1948,,,279,40,True,True,IE
2020-11-09,ITA,Italy,41.873987,12.564167,960373,41750,345289,573334,30485,2849,True,True,IT
2020-11-10,LVA,Latvia,56.875584,24.607722,8187,101,,,,,True,True,LV
2020-11-10,LIE,Liechtenstein,47.164696,9.555,817,3,0,814,,,False,False,LI
2020-11-10,LTU,Lithuania,55.174112,23.906736,25755,210,,,,,True,True,LT
2020-11-10,LUX,Luxembourg,49.815764,6.131514,23051,188,,,,,True,True,LU
2020-11-10,MLT,Malta,35.946151,14.384612,7396,81,5274,2041,,,True,True,MT
2020-11-10,MDA,Moldova,46.979527,28.377195,82677,1912,,,,,False,False,MD
2020-11-10,MCO,Monaco,43.738348,7.424451,490,1,,,,,False,False,MC
2020-11-10,MNE,Montenegro,42.710152,19.410069,23608,342,,,,,False,True,ME
2020-11-10,NLD,Netherlands,52.133057,5.29525,419412,14279,0,405133,27958,0,True,True,NL
2020-11-10,MKD,North Macedonia,41.611,21.751417,40275,1156,,,,,False,True,MK
2020-11-09,NOR,Norway,64.583013,17.86411,24522,285,0,24237,1359,270,False,True,NO
2020-11-10,POL,Poland,51.92275,19.136875,593592,8375,,,,,True,True,PL
2020-11-10,PRT,Portugal,39.553444,-7.839319,187258,3021,106878,77359,2742,382,True,True,PT
2020-11-10,ROU,Romania,45.947125,24.980514,311544,8186,,,,,True,True,RO
2020-11-10,RUS,Russian Fed.,61.523111,-74.9,1817109,33277,1350741,433091,0,0,False,False,RU
2020-11-10,SMR,San Marino,43.942973,12.460035,1114,42,,,,,False,False,SM
2020-11-10,SRB,Serbia,44.206802,20.911009,64065,901,,,,,False,True,RS
2020-11-10,SVK,Slovakia,48.665639,19.709097,77123,390,21718,55015,1872,119,True,True,SK
2020-11-09,SVN,Slovenia,46.145528,14.974541,46638,605,1833,44200,1171,196,True,True,SI
2020-11-09,ESP,Spain,39.896027,-2.487694,1381218,39345,,,169621,14235,True,True,ES
2020-11-09,SWE,Sweden,62.199806,17.637493,162240,6057,,,,2851,True,True,SE
2020-11-10,CHE,Switzerland,46.815514,8.224472,228255,3027,18814,206414,3787,467,False,False,CH
2020-11-10,TUR,Turkey,38.961516,35.25175,396831,10972,,,,,False,True,TR
2020-11-10,UKR,Ukraine,48.379888,31.168139,469018,8565,,,,,False,False,UA
2020-11-09,GBR,United Kingdom,54.633221,-3.432277,1213373,49238,0,1164135,,,False,True,UK
