Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-18,ALB,Albania,41.156986,20.181222,50,0,0,50,0,0,False,False
2020-03-18,AND,Andorra,42.542268,1.596865,39,0,0,39,,,False,False
2020-03-18,AUT,Austria,47.697542,13.349319,1592,,,,,,True,True
2020-03-18,BLR,Belarus,53.711111,27.973847,36,0,0,36,0,0,False,False
2020-03-18,BIH,Bosnia and Herzegovina,43.892652,17.670584,15,0,0,15,0,0,False,False
2020-03-18,HRV,Croatia,44.48732,16.460306,64,0,0,64,,,True,True
2020-03-18,CYP,Cyprus,35.167406,33.435499,58,0,0,58,,,True,True
2020-03-18,CZE,Czech Republic,49.800901,15.478153,560,0,0,560,,,True,True
2020-03-18,DNK,Denmark,56.155403,11.617223,1966,4,0,1962,0,0,True,True
2020-03-18,EST,Estonia,58.596209,25.023778,258,0,0,258,0,0,True,True
2020-03-18,FIN,Finland,64.952416,26.068944,321,0,0,321,,,True,True
2020-03-18,FRA,France,46.232193,2.209667,9134,264,1000,7870,3626,931,True,True
2020-03-18,DEU,Germany,51.165706,10.452764,8200,12,,,,,True,True
2020-03-18,GRC,Greece,38.275283,23.810343,459,14,0,445,0,0,True,True
2020-03-18,HUN,Hungary,47.164638,19.508944,55,1,0,54,0,0,True,True
2020-03-18,ISL,Iceland,64.963942,-19.021169,250,0,0,250,,,False,True
2020-03-18,IRL,Ireland,53.41975,-8.240472,366,2,0,364,,,True,True
2020-03-18,ITA,Italy,41.873987,12.564167,35713,2978,4025,28710,16620,2257,True,True
2020-03-18,LVA,Latvia,56.875584,24.607722,71,0,0,71,,,True,True
2020-03-18,LIE,Liechtenstein,47.164696,9.555,7,0,0,7,,,False,False
2020-03-18,LTU,Lithuania,55.174112,23.906736,33,0,0,33,,,True,True
2020-03-18,LUX,Luxembourg,49.815764,6.131514,140,1,0,139,,,True,True
2020-03-18,MLT,Malta,35.946151,14.384612,46,0,0,46,,,True,True
2020-03-18,MDA,Moldova,46.979527,28.377195,30,0,0,30,,,False,False
2020-03-18,MCO,Monaco,43.738348,7.424451,9,0,0,9,,,False,False
2020-03-18,MNE,Montenegro,42.710152,19.410069,2,0,0,2,,,False,True
2020-03-18,NOR,Norway,64.583013,17.86411,1423,3,0,1420,,,False,True
2020-03-18,PRT,Portugal,39.553444,-7.839319,642,,,,,,True,True
2020-03-18,SMR,San Marino,43.942973,12.460035,104,11,0,93,,,False,False
2020-03-18,SRB,Serbia,44.206802,20.911009,89,0,0,89,0,0,False,True
2020-03-18,SVK,Slovakia,48.665639,19.709097,97,0,0,97,,,True,True
2020-03-18,SVN,Slovenia,46.145528,14.974541,275,1,0,274,,,True,True
2020-03-18,ESP,Spain,39.896027,-2.487694,13716,598,0,13118,0,774,True,True
2020-03-18,SWE,Sweden,62.199806,17.637493,1279,11,0,1268,,,True,True
2020-03-18,CHE,Switzerland,46.815514,8.224472,3829,38,76,3715,384,76,False,False
2020-03-18,TUR,Turkey,38.961516,35.25175,98,0,0,98,,,False,True
2020-03-18,UKR,Ukraine,48.379888,31.168139,14,2,0,12,,,False,False
