Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-12,AND,Andorra,42.542268,1.596865,1,0,0,1,,,False,False
2020-03-12,AUT,Austria,47.697542,13.349319,361,,,,,,True,True
2020-03-12,BLR,Belarus,53.711111,27.973847,12,0,0,12,0,0,False,False
2020-03-12,BIH,Bosnia and Herzegovina,43.892652,17.670584,3,0,0,3,0,0,False,False
2020-03-12,HRV,Croatia,44.48732,16.460306,16,0,0,16,,,True,True
2020-03-12,CYP,Cyprus,35.167406,33.435499,10,0,0,10,,,True,True
2020-03-12,DNK,Denmark,56.155403,11.617223,1059,0,0,1059,0,0,True,True
2020-03-12,EST,Estonia,58.596209,25.023778,41,0,0,41,0,0,True,True
2020-03-12,FRA,France,46.232193,2.209667,2879,61,0,2818,0,129,True,True
2020-03-12,DEU,Germany,51.165706,10.452764,2371,5,,,,,True,True
2020-03-12,GRC,Greece,38.275283,23.810343,1596,81,0,1515,0,0,True,True
2020-03-12,HUN,Hungary,47.164638,19.508944,15,0,0,15,0,0,True,True
2020-03-11,IRL,Ireland,53.41975,-8.240472,43,0,0,43,,,True,True
2020-03-12,ITA,Italy,41.873987,12.564167,15113,1016,1258,12839,7803,1153,True,True
2020-03-12,LVA,Latvia,56.875584,24.607722,8,0,0,8,,,True,True
2020-03-12,LIE,Liechtenstein,47.164696,9.555,3,0,0,3,,,False,False
2020-03-12,LTU,Lithuania,55.174112,23.906736,3,0,0,3,,,True,True
2020-03-12,MLT,Malta,35.946151,14.384612,12,0,0,12,,,True,True
2020-03-12,MDA,Moldova,46.979527,28.377195,3,0,0,3,,,False,False
2020-03-11,NOR,Norway,64.583013,17.86411,489,0,0,489,,,False,True
2020-03-12,PRT,Portugal,39.553444,-7.839319,78,,,,,,True,True
2020-03-11,SMR,San Marino,43.942973,12.460035,62,2,0,60,,,False,False
2020-03-12,SRB,Serbia,44.206802,20.911009,24,0,0,24,0,0,False,True
2020-03-12,SVK,Slovakia,48.665639,19.709097,21,0,0,21,,,True,True
2020-03-12,SVN,Slovenia,46.145528,14.974541,31,0,0,31,,,True,True
2020-03-12,ESP,Spain,39.896027,-2.487694,2950,84,19,2847,0,190,True,True
2020-03-11,SWE,Sweden,62.199806,17.637493,461,0,0,461,,,True,True
2020-03-12,CHE,Switzerland,46.815514,8.224472,796,6,13,777,93,17,False,False
