Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CuurentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-03-31,ALB,Albania,41.156986,20.181222,259,15,0,244,0,0,False,False
2020-03-31,AND,Andorra,42.542268,1.596865,370,8,0,362,0,0,False,False
2020-03-31,AUT,Austria,47.697542,13.349319,9974,0,0,9974,0,0,True,True
2020-03-31,BLR,Belarus,53.711111,27.973847,105,0,0,105,0,0,False,False
2020-03-31,BIH,Bosnia and Herzegovina,43.892652,17.670584,172,9,0,163,0,0,False,False
2020-03-31,BGR,Bulgaria,42.729862,25.491667,408,8,0,400,0,0,True,True
2020-03-31,HRV,Croatia,44.48732,16.460306,851,6,0,845,0,0,True,True
2020-03-31,CYP,Cyprus,35.167406,33.435499,262,8,0,254,0,0,True,True
2020-03-31,CZE,Czech Republic,49.800901,15.478153,3002,24,0,2978,0,0,True,True
2020-03-31,DNK,Denmark,56.155403,11.617223,3854,90,0,3764,0,0,True,True
2020-03-31,EST,Estonia,58.596209,25.023778,745,4,0,741,0,0,True,True
2020-03-31,FIN,Finland,64.952416,26.068944,2431,0,0,2431,0,0,True,True
2020-03-31,FRA,France,46.232193,2.209667,52191,3523,9444,39224,22757,5565,True,True
2020-03-31,DEU,Germany,51.165706,10.452764,61915,583,0,61332,0,0,True,True
2020-03-31,GRC,Greece,38.275283,23.810343,1326,50,0,1276,0,0,True,True
2020-03-31,HUN,Hungary,47.164638,19.508944,439,16,0,423,0,0,True,True
2020-03-31,ISL,Iceland,64.963942,-19.021169,1135,0,0,1135,0,0,False,True
2020-03-31,IRL,Ireland,53.41975,-8.240472,3235,71,0,3164,0,0,True,True
2020-03-31,ITA,Italy,41.873987,12.564167,105792,12428,15729,77635,32215,4023,True,True
2020-03-31,LVA,Latvia,56.875584,24.607722,398,0,0,398,0,0,True,True
2020-03-31,LIE,Liechtenstein,47.164696,9.555,64,0,0,64,0,0,False,False
2020-03-30,LTU,Lithuania,55.174112,23.906736,484,7,0,477,0,0,True,True
2020-03-31,LUX,Luxembourg,49.815764,6.131514,2178,23,0,2155,0,0,True,True
2020-03-31,MLT,Malta,35.946151,14.384612,167,0,0,167,0,0,True,True
2020-03-31,MDA,Moldova,46.979527,28.377195,298,2,0,296,0,0,False,False
2020-03-31,MCO,Monaco,43.738348,7.424451,52,1,0,51,0,0,False,False
2020-03-31,MNE,Montenegro,42.710152,19.410069,105,2,0,103,0,0,False,True
2020-03-31,MKD,North Macedonia,41.611,21.751417,329,9,0,320,0,0,False,True
2020-03-31,NOR,Norway,64.583013,17.86411,4450,28,0,4422,0,0,False,True
2020-03-31,POL,Poland,51.92275,19.136875,2311,33,0,2278,0,0,True,True
2020-03-31,PRT,Portugal,39.553444,-7.839319,7464,160,0,7304,0,0,True,True
2020-03-31,ROU,Romania,45.947125,24.980514,2389,80,0,2309,0,0,True,True
2020-03-31,RUS,Russian Fed.,61.523111,-74.9,2335,0,0,2335,0,0,False,False
2020-03-31,SMR,San Marino,43.942973,12.460035,229,25,0,204,0,0,False,False
2020-03-31,SRB,Serbia,44.206802,20.911009,901,23,0,878,0,0,False,True
2020-03-31,SVK,Slovakia,48.665639,19.709097,400,0,0,400,0,0,True,True
2020-03-31,SVN,Slovenia,46.145528,14.974541,1526,12,0,1514,0,0,True,True
2020-03-31,ESP,Spain,39.896027,-2.487694,94417,8189,19259,66969,49243,5607,True,True
2020-03-31,SWE,Sweden,62.199806,17.637493,4799,239,0,4560,0,393,True,True
2020-03-31,CHE,Switzerland,46.815514,8.224472,17130,442,1308,15380,2070,342,False,False
2020-03-31,TUR,Turkey,38.961516,35.25175,13531,214,0,13317,0,0,False,True
2020-03-31,UKR,Ukraine,48.379888,31.168139,550,13,0,537,0,0,False,False
