Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-08-27,ALB,Albania,41.156986,20.181222,9083,266,4791,4026,154,14,False,False,AL
2020-08-27,AND,Andorra,42.542268,1.596865,1098,53,,,,,False,False,AD
2020-07-13,ARM,Armenia,40.066181,45.111108,32490,581,20729,11180,1885,273,False,False,AM
2020-08-27,AUT,Austria,47.697542,13.349319,26354,726,22317,3311,374,35,True,True,AT
2020-08-27,BLR,Belarus,53.711111,27.973847,70974,657,,,,,False,False,BY
2020-08-27,BEL,Belgium,50.499527,4.475402,83500,9884,,,258,82,True,True,BE
2020-08-27,BIH,Bosnia and Herzegovina,43.892652,17.670584,18609,571,,,,,False,False,BA
2020-08-28,BGR,Bulgaria,42.729862,25.491667,15908,594,11044,4270,,,True,True,BG
2020-08-27,HRV,Croatia,44.48732,16.460306,9193,177,0,9016,,,True,True,HR
2020-08-27,CYP,Cyprus,35.167406,33.435499,1484,21,,,,,True,True,CY0
2020-08-27,CZE,Czech Republic,49.800901,15.478153,22951,418,16954,5579,,,True,True,CZ
2020-08-27,DNK,Denmark,56.155403,11.617223,16627,624,,,,,True,True,DK
2020-08-27,EST,Estonia,58.596209,25.023778,2311,64,,,,,True,True,EE
2020-08-27,FIN,Finland,64.952416,26.068944,8041,0,0,8041,0,0,True,True,FI
2020-08-25,FRA,France,46.232193,2.209667,248158,20038,85524,142596,4600,410,True,True,FR
2020-08-28,DEU,Germany,51.165706,10.452764,239509,9288,213200,17021,,,True,True,DE
2020-08-27,GRC,Greece,38.275283,23.810343,9280,248,,,,,True,True,EL
2020-08-27,HUN,Hungary,47.164638,19.508944,5379,614,3757,1008,69,8,True,True,HU
2020-08-27,ISL,Iceland,64.963942,-19.021169,2082,10,,,,,False,True,IS
2020-08-27,IRL,Ireland,53.41975,-8.240472,28363,1777,,,,,True,True,IE
2020-08-27,ITA,Italy,41.873987,12.564167,263949,35463,206554,21932,1198,67,True,True,IT
2020-08-27,LVA,Latvia,56.875584,24.607722,1360,33,,,,,True,True,LV
2020-08-27,LIE,Liechtenstein,47.164696,9.555,105,1,0,104,,,False,False,LI
2020-08-27,LTU,Lithuania,55.174112,23.906736,2726,85,,,,,True,True,LT
2020-08-27,LUX,Luxembourg,49.815764,6.131514,7928,124,,,,,True,True,LU
2020-08-27,MLT,Malta,35.946151,14.384612,1788,10,1121,657,,,True,True,MT
2020-08-27,MDA,Moldova,46.979527,28.377195,34982,967,,,,,False,False,MD
2020-08-27,MCO,Monaco,43.738348,7.424451,122,1,,,,,False,False,
2020-08-27,MNE,Montenegro,42.710152,19.410069,4499,88,,,,,False,True,ME
2020-08-27,NLD,Netherlands,52.133057,5.29525,68624,6218,0,62406,24046,0,True,True,NL
2020-08-27,MKD,North Macedonia,41.611,21.751417,13799,573,,,,,False,True,MK
2020-08-27,NOR,Norway,64.583013,17.86411,10505,264,0,10241,1027,232,False,True,NO
2020-08-27,POL,Poland,51.92275,19.136875,64689,2010,,,,,True,True,PL
2020-08-24,PRT,Portugal,39.553444,-7.839319,55741,1801,35626,18314,402,41,True,True,PT
2020-08-27,ROU,Romania,45.947125,24.980514,83069,3459,,,,,True,True,RO
2020-08-27,RUS,Russian Fed.,61.523111,-74.9,975576,18920,792561,164095,0,0,False,False,
2020-08-27,SMR,San Marino,43.942973,12.460035,710,42,,,,,False,False,SM
2020-08-27,SRB,Serbia,44.206802,20.911009,30974,707,,,,,False,True,RS
2020-08-26,SVK,Slovakia,48.665639,19.709097,3536,33,2192,1311,70,7,True,True,SK
2020-08-25,SVN,Slovenia,46.145528,14.974541,2722,133,376,2213,20,0,True,True,SI
2020-08-27,ESP,Spain,39.896027,-2.487694,429507,28996,,,132988,12206,True,True,ES
2020-08-26,SWE,Sweden,62.199806,17.637493,83898,5820,,,,2564,True,True,SE
2020-08-27,CHE,Switzerland,46.815514,8.224472,39824,1995,6816,31013,102,16,False,False,CH
2020-08-27,TUR,Turkey,38.961516,35.25175,262507,6183,,,,,False,True,TR
2020-08-27,UKR,Ukraine,48.379888,31.168139,112059,2403,,,,,False,False,UA
2020-08-27,GBR,United Kingdom,54.633221,-3.432277,330378,41477,0,288901,,,False,True,UK
