Date,iso3,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2020-10-04,ALB,Albania,41.156986,20.181222,14266,396,8675,5195,186,20,False,False,AL
2020-10-05,AND,Andorra,42.542268,1.596865,2110,53,,,,,False,False,AD
2020-07-13,ARM,Armenia,40.066181,45.111108,32490,581,20729,11180,1885,273,False,False,AM
2020-10-05,AUT,Austria,47.697542,13.349319,48128,795,38629,8704,935,150,True,True,AT
2020-10-05,BLR,Belarus,53.711111,27.973847,80295,857,,,,,False,False,BY
2020-10-03,BEL,Belgium,50.499527,4.475402,130235,10060,,,819,185,True,True,BE
2020-10-05,BIH,Bosnia and Herzegovina,43.892652,17.670584,27975,871,,,,,False,False,BA
2020-10-05,BGR,Bulgaria,42.729862,25.491667,21587,844,15014,5729,,,True,True,BG
2020-10-05,HRV,Croatia,44.48732,16.460306,17798,300,0,17498,,,True,True,HR
2020-10-05,CYP,Cyprus,35.167406,33.435499,1824,22,,,,,True,True,
2020-10-05,CZE,Czech Republic,49.800901,15.478153,82446,727,44149,37570,,,True,True,CZ
2020-10-02,DNK,Denmark,56.155403,11.617223,28932,652,21824,6456,0,,True,True,DK
2020-10-05,EST,Estonia,58.596209,25.023778,3607,67,,,,,True,True,EE
2020-10-05,FIN,Finland,64.952416,26.068944,10724,0,0,10724,0,0,True,True,FI
2020-10-04,FRA,France,46.232193,2.209667,619190,21449,98374,499367,6982,1341,True,True,FR
2020-10-05,DEU,Germany,51.165706,10.452764,300621,9534,263700,27387,,,True,True,DE
2020-10-05,GRC,Greece,38.275283,23.810343,19842,409,,,,,True,True,EL
2020-10-05,HUN,Hungary,47.164638,19.508944,31480,833,8165,22482,649,40,True,True,HU
2020-10-05,ISL,Iceland,64.963942,-19.021169,2921,10,,,,,False,True,IS
2020-10-05,IRL,Ireland,53.41975,-8.240472,38032,1810,,,,,True,True,IE
2020-10-04,ITA,Italy,41.873987,12.564167,325329,35986,231914,57429,3590,303,True,True,IT
2020-10-05,LVA,Latvia,56.875584,24.607722,2086,38,,,,,True,True,LV
2020-10-05,LIE,Liechtenstein,47.164696,9.555,126,1,0,125,,,False,False,LI
2020-10-05,LTU,Lithuania,55.174112,23.906736,5185,94,,,,,True,True,LT
2020-10-05,LUX,Luxembourg,49.815764,6.131514,8709,125,,,,,True,True,LU
2020-10-04,MLT,Malta,35.946151,14.384612,3270,39,2758,473,,,True,True,MT
2020-10-05,MDA,Moldova,46.979527,28.377195,56579,1366,,,,,False,False,MD
2020-10-05,MCO,Monaco,43.738348,7.424451,222,1,,,,,False,False,
2020-10-05,MNE,Montenegro,42.710152,19.410069,12127,179,,,,,False,True,ME
2020-10-04,NLD,Netherlands,52.133057,5.29525,135892,12592,0,123300,24775,0,True,True,NL
2020-10-05,MKD,North Macedonia,41.611,21.751417,18602,753,,,,,False,True,MK
2020-10-02,NOR,Norway,64.583013,17.86411,14149,275,0,13874,1110,243,False,True,NO
2020-10-05,POL,Poland,51.92275,19.136875,102080,2659,,,,,True,True,PL
2020-10-04,PRT,Portugal,39.553444,-7.839319,79172,2005,50207,26960,682,105,True,True,PT
2020-10-04,ROU,Romania,45.947125,24.980514,135768,5003,,,,,True,True,RO
2020-10-04,RUS,Russian Fed.,61.523111,-74.9,1215001,23474,979143,212384,0,0,False,False,
2020-10-05,SMR,San Marino,43.942973,12.460035,732,42,,,,,False,False,SM
2020-10-05,SRB,Serbia,44.206802,20.911009,33901,754,,,,,False,True,RS
2020-10-05,SVK,Slovakia,48.665639,19.709097,13492,55,4865,8572,279,13,True,True,SK
2020-10-03,SVN,Slovenia,46.145528,14.974541,0,155,558,-713,101,16,True,True,SI
2020-10-02,ESP,Spain,39.896027,-2.487694,0,2379,,,0,0,True,True,ES
2020-10-01,SWE,Sweden,62.199806,17.637493,94283,5895,,,,2611,True,True,SE
2020-10-05,CHE,Switzerland,46.815514,8.224472,54574,2079,8649,43846,163,22,False,False,CH
2020-10-05,TUR,Turkey,38.961516,35.25175,324443,8441,,,,,False,True,TR
2020-10-05,UKR,Ukraine,48.379888,31.168139,226462,4397,,,,,False,False,UA
2020-10-04,GBR,United Kingdom,54.633221,-3.432277,502988,42350,0,460638,,,False,True,UK
