Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-07-28,GHA,AF,Ghana,7.955012,-1.031819,33624,168,,33456,,,0,0
2020-07-28,GIB,EU,Gibraltar,36.132235,-5.352273,185,0,,185,,,0,0
2020-07-27,GRC,EU,Greece,38.275283,23.810343,4194,201,0,3993,0,0,1,1
2020-07-28,GRL,NA,Greenland,71.702379,-42.177174,13,0,,13,,,0,0
2020-07-28,GRD,NA,Grenada,12.152588,-61.689557,23,0,,23,,,0,0
2020-07-28,GUM,OC,Guam,13.446472,144.786613,349,5,,344,,,0,0
2020-07-28,GTM,NA,Guatemala,15.776261,-90.229744,45053,1734,,43319,,,0,0
2020-07-28,GGY,EU,Guernsey,49.575693,-2.42318,252,13,,239,,,0,0
2020-07-28,GIN,AF,Guinea,9.934887,-11.283845,7055,45,,7010,,,0,0
2020-07-28,GNB,AF,Guinea Bissau,11.802527,-15.177029,1954,26,,1928,,,0,0
2020-07-28,GUY,SA,Guyana,4.866324,-58.932507,389,20,,369,,,0,0
2020-07-28,HTI,NA,Haiti,19.054426,-73.045971,7340,158,,7182,,,0,0
2020-07-28,VAT,EU,Holy See,41.903859,12.452041,12,0,,12,,,0,0
2020-07-28,HND,NA,Honduras,14.746334,-86.253097,39741,1166,,38575,,,0,0
2020-07-28,HUN,EU,Hungary,47.164638,19.508944,4456,596,3331,529,76,6,1,1
2020-07-28,ISL,EU,Iceland,64.963942,-19.021169,3668,10,,,,,0,1
2020-07-28,IND,AS,India,21.125681,82.794998,1483156,33425,,1449731,,,0,0
2020-07-28,IDN,AS,Indonesia,-2.518722,118.015568,100303,4838,,95465,,,0,0
2020-07-28,IRN,AS,Iran,32.420653,53.682375,293606,15912,,277694,,,0,0
2020-07-28,IRQ,AS,Iraq,33.223737,43.685901,112585,4458,,108127,,,0,0
2020-07-28,IRL,EU,Ireland,53.41975,-8.240472,25892,1764,,,,,1,1
2020-07-28,IMN,EU,Isle of Man,54.23782,-4.555111,336,24,,312,,,0,0
2020-07-28,ISR,AS,Israel,31.418388,35.073541,64458,474,,63984,,,0,0
2020-07-27,ITA,EU,Italy,41.873987,12.564167,246286,35112,198593,12581,785,45,1,1
2020-07-28,JAM,NA,Jamaica,18.115265,-77.273479,853,10,,843,,,0,0
2020-07-28,JPN,AS,Japan,34.886306,134.379711,29989,996,,28993,,,0,0
2020-07-28,JEY,EU,Jersey,49.217445,-2.141055,334,31,,303,,,0,0
2020-07-28,JOR,AS,Jordan,31.276778,37.130583,1176,11,,1165,,,0,0
2020-07-28,KAZ,AS,Kazakhstan,48.193764,66.902264,84648,585,,84063,,,0,0
2020-07-28,KEN,AF,Kenya,0.170945,37.903969,17975,285,,17690,,,0,0
2020-07-28,XKX,EU,Kosovo,41.85637,21.803351,7413,185,,7228,,,0,0
2020-07-28,KWT,AS,Kuwait,29.310278,47.493515,64379,438,,63941,,,0,0
2020-07-28,KGZ,AS,Kyrgyzstan,41.205528,74.779888,33844,1329,,32515,,,0,0
2020-07-28,LAO,AS,Laos,18.205208,103.895043,20,0,,20,,,0,0
2020-07-28,LVA,EU,Latvia,56.875584,24.607722,1220,31,,,,,1,1
2020-07-28,LBN,AS,Lebanon,33.872639,35.876736,3882,51,,3831,,,0,0
2020-07-28,LSO,AF,Lesotho,,,505,12,,493,,,0,0
2020-07-28,LBR,AF,Liberia,6.452424,-9.428598,1167,72,,1095,,,0,0
2020-07-28,LBY,AF,Libya,26.338522,17.268816,2827,64,,2763,,,0,0
2020-07-28,LIE,EU,Liechtenstein,47.164696,9.555,87,1,0,86,,,0,0
2020-07-28,LTU,EU,Lithuania,55.174112,23.906736,2019,80,,,,,1,1
2020-07-27,LUX,EU,Luxembourg,49.815764,6.131514,6321,112,1015,5194,55,6,1,1
2020-07-28,MDG,AF,Madagascar,-18.777193,46.854328,9295,85,,9210,,,0,0
2020-07-28,MWI,AF,Malawi,-13.24627,34.295385,3709,103,,3606,,,0,0
2020-07-28,MYS,AS,Malaysia,4.109319,109.455475,8904,124,,8780,,,0,0
2020-07-28,MDV,AS,Maldives,3.202833,73.165249,3369,15,,3354,,,0,0
2020-07-28,MLI,AF,Mali,17.579757,-3.998823,2513,124,,2389,,,0,0
2020-07-27,MLT,EU,Malta,35.946151,14.384612,701,9,665,27,,,1,1
2020-07-28,MRT,AF,Mauritania,21.00681,-10.947098,6171,156,,6015,,,0,0
2020-07-28,MUS,AF,Mauritius,-15.422486,60.006449,344,10,,334,,,0,0
2020-07-28,MEX,NA,Mexico,23.624813,-102.578671,395489,44022,,351467,,,0,0
2020-07-28,MDA,EU,Moldova,46.979527,28.377195,23154,748,,,,,0,0
2020-07-28,MCO,EU,Monaco,43.738348,7.424451,117,5,,,,,0,0
2020-07-28,MNG,AS,Mongolia,46.860945,103.836986,289,0,,289,,,0,0
2020-07-28,MNE,EU,Montenegro,42.710152,19.410069,2893,43,,,,,0,1
2020-07-28,MSR,NA,Montserrat,16.749415,-62.192741,13,1,,12,,,0,0
2020-07-28,MAR,AF,Morocco,31.792306,-7.080168,20887,316,,20571,,,0,0
2020-07-28,MOZ,AF,Mozambique,-18.670284,35.530157,1701,11,,1690,,,0,0
2020-07-28,NAM,AF,Namibia,-22.965662,18.486165,1843,8,,1835,,,0,0
2020-07-28,NPL,AS,Nepal,28.395056,84.127803,18752,48,,18704,,,0,0
2020-07-28,NLD,EU,Netherlands,52.133057,5.29525,53374,12283,0,41091,23813,0,1,1
2020-07-28,NCL,OC,New Caledonia,-21.123889,165.846901,22,0,,22,,,0,0
2020-07-28,NZL,OC,New Zealand,-40.9006,174.886,1207,22,,1185,,,0,0
2020-07-28,NIC,NA,Nicaragua,12.866726,-85.214298,3439,108,,3331,,,0,0
2020-07-28,NER,AF,Niger,17.611,8.080946,1132,69,,1063,,,0,0
2020-07-28,NGA,AF,Nigeria,9.084575,8.674252,41180,860,,40320,,,0,0
2020-07-28,MKD,EU,North Macedonia,41.611,21.751417,10214,466,,,,,0,1
2020-07-28,MNP,OC,Northern Mariana Islands,17.331835,145.47577,40,2,,38,,,0,0
2020-07-27,NOR,EU,Norway,64.583013,17.86411,9118,255,0,8863,975,227,0,1
2020-07-28,OMN,AS,Oman,21.516861,55.859291,77058,393,,76665,,,0,0
2020-07-28,PAK,AS,Pakistan,30.441861,69.359766,275225,5865,,269360,,,0,0
2020-07-28,PSE,AS,Palestine,31.881464,34.894978,13457,79,,13378,,,0,0
2020-07-28,PAN,NA,Panama,8.41771,-80.112778,61442,1322,,60120,,,0,0
2020-07-28,PNG,OC,Papua New Guinea,-6.48825,148.403152,62,0,,62,,,0,0
2020-07-28,PRY,SA,Paraguay,-23.45139,-58.453215,4548,43,,4505,,,0,0
2020-07-28,PER,SA,Peru,-9.181352,-75.002365,389717,18418,,371299,,,0,0
2020-07-28,PHL,AS,Philippines,12.881958,121.766541,82040,1945,,80095,,,0,0
2020-07-28,POL,EU,Poland,51.92275,19.136875,43904,1682,,,,,1,1
2020-07-27,PRT,EU,Portugal,39.553444,-7.839319,50185,1717,35375,13093,414,45,1,1
2020-07-28,PRI,NA,Puerto Rico,18.223285,-66.592731,15441,201,,15240,,,0,0
2020-07-28,QAT,AS,Qatar,25.318833,51.19693,109597,165,,109432,,,0,0
2020-07-28,ROU,EU,Romania,45.947125,24.980514,47005,2239,,,,,1,1
2020-07-28,RUS,EU,Russian Fed.,61.523111,-74.9,823515,15620,612217,195678,0,0,0,0
2020-07-28,RWA,AF,Rwanda,-1.94708,29.876376,1879,5,,1874,,,0,0
2020-07-28,KNA,NA,Saint Kitts and Nevis,17.257731,-62.706413,17,0,,17,,,0,0
2020-07-28,LCA,NA,Saint Lucia,13.904011,-60.974176,24,0,,24,,,0,0
2020-07-28,VCT,NA,Saint Vincent and the Grenadines,12.980909,-61.287392,52,0,,52,,,0,0
2020-07-28,SMR,EU,San Marino,43.942973,12.460035,716,42,,,,,0,0
2020-07-28,STP,AF,Sao Tome and Principe,0.863044,6.968272,865,14,,851,,,0,0
2020-07-28,SAU,AS,Saudi Arabia,23.886291,45.081139,268934,2760,,266174,,,0,0
2020-07-28,SEN,AF,Senegal,14.499454,-14.445562,9764,194,,9570,,,0,0
2020-07-28,SRB,EU,Serbia,44.206802,20.911009,24141,543,,,,,0,1
2020-07-28,SYC,AF,Seychelles,-7.018792,51.242138,114,0,,114,,,0,0
2020-07-28,SLE,AF,Sierra Leone,8.464806,-11.795934,1783,66,,1717,,,0,0
2020-07-28,SGP,AS,Singapore,1.364917,103.822872,50838,27,,50811,,,0,0
2020-07-28,SVK,EU,Slovakia,48.665639,19.709097,2204,28,1644,532,24,2,1,1
2020-07-27,SVN,EU,Slovenia,46.145528,14.974541,3312,117,336,2859,17,3,1,1
2020-07-28,SOM,AF,Somalia,5.152149,46.199616,3178,93,,3085,,,0,0
2020-07-28,ZAF,AF,South Africa,-28.48322,24.676997,452529,7067,,445462,,,0,0
2020-07-28,KOR,AS,South Korea,35.901696,127.735889,14203,300,,13903,,,0,0
2020-07-28,SSD,AF,South Sudan,7.856272,30.040413,2305,46,,2259,,,0,0
2020-07-27,ESP,EU,Spain,39.896027,-2.487694,278782,28434,,,126497,11748,1,1
2020-07-28,LKA,AS,Sri Lanka,7.874097,80.767098,2805,11,,2794,,,0,0
2020-07-28,SDN,AF,Sudan,15.45847,30.217636,11424,720,,10704,,,0,0
2020-07-28,SUR,SA,Suriname,3.917845,-56.032028,1483,24,,1459,,,0,0
2020-07-28,SWE,EU,Sweden,62.199806,17.637493,79494,5702,,,,2506,1,1
2020-07-28,CHE,EU,Switzerland,46.815514,8.224472,34178,1973,6391,25814,98,20,0,0
2020-07-28,TWN,AS,Taiwan,21.901806,121.471,467,7,,460,,,0,0
2020-07-28,TJK,AS,Tajikistan,,,7235,60,,7175,,,0,0
2020-07-28,THA,AS,Thailand,13.036597,101.492515,3297,58,,3239,,,0,0
2020-07-28,TGO,AF,Togo,8.621697,0.829685,874,18,,856,,,0,0
2020-07-28,TTO,NA,Trinidad and Tobago,10.687223,-61.220852,148,8,,140,,,0,0
2020-07-28,TUN,AF,Tunisia,33.892166,9.561556,1455,50,,1405,,,0,0
2020-07-28,TUR,AS,Turkey,38.961516,35.25175,227019,5630,,,,,0,1
2020-07-28,TCA,NA,Turks and Caicos islands,21.692252,-71.803756,99,2,,97,,,0,0
2020-07-28,UGA,AF,Uganda,1.365188,32.304651,1128,2,,1126,,,0,0
2020-07-28,UKR,EU,Ukraine,48.379888,31.168139,65656,1616,,,,,0,0
2020-07-28,ARE,AS,United Arab Emirates,24.358745,53.982494,59177,345,,58832,,,0,0
2020-07-27,GBR,EU,United Kingdom,54.633221,-3.432277,300985,45759,0,255226,,,0,1
2020-07-28,USA,NA,United States of America,36.966428,-95.844032,4290263,148011,,4142252,,,0,0
2020-07-28,VIR,NA,United States Virgin Islands,18.036736,-64.801704,364,7,,357,,,0,0
2020-07-28,URY,SA,Uruguay,-32.53152,-55.758328,1202,35,,1167,,,0,0
2020-07-28,UZB,AS,Uzbekistan,41.379722,64.564459,21506,122,,21384,,,0,0
2020-07-28,VEN,SA,Venezuela,6.414107,-66.578926,15988,146,,15842,,,0,0
2020-07-28,VNM,AS,Vietnam,15.974222,105.806431,431,0,,431,,,0,0
2020-07-28,ESH,AF,Western Sahara,,,766,1,,765,,,0,0
2020-07-28,YEM,AS,Yemen,,,1691,483,,1208,,,0,0
2020-07-28,ZMB,AF,Zambia,-13.151917,27.852537,4552,140,,4412,,,0,0
2020-07-28,ZWE,AF,Zimbabwe,-19.013286,29.146666,2704,36,,2668,,,0,0
