Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-01-26,AUS,OC,Australia,-26.853388,133.275155,4,,,4,,,False,False
2020-01-26,CAN,NA,Canada,62.393303,-96.818145,1,,,1,,,False,False
2020-01-26,CHN,AS,China,34.668138,104.165802,1988,56,,1932,,,False,False
2020-01-26,FRA,EU,France,46.232193,2.209667,3,0,0,3,3,0,True,True
2020-01-26,JPN,AS,Japan,34.886306,134.379711,3,,,3,,,False,False
2020-01-26,MYS,AS,Malaysia,4.109319,109.455475,4,,,4,,,False,False
2020-01-26,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-26,SGP,AS,Singapore,1.364917,103.822872,4,,,4,,,False,False
2020-01-26,KOR,AS,South Korea,35.901696,127.735889,3,,,3,,,False,False
2020-01-26,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-26,TWN,AS,Taiwan,21.901806,121.471,3,,,3,,,False,False
2020-01-26,THA,AS,Thailand,13.036597,101.492515,5,,,5,,,False,False
2020-01-26,USA,NA,United States of America,36.966428,-95.844032,2,,,2,,,False,False
2020-01-26,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-27,AUS,OC,Australia,-26.853388,133.275155,4,,,4,,,False,False
2020-01-27,CAN,NA,Canada,62.393303,-96.818145,1,,,1,,,False,False
2020-01-27,CHN,AS,China,34.668138,104.165802,2775,81,,2694,,,False,False
2020-01-27,FRA,EU,France,46.232193,2.209667,3,0,0,3,3,0,True,True
2020-01-27,JPN,AS,Japan,34.886306,134.379711,3,,,3,,,False,False
2020-01-27,MYS,AS,Malaysia,4.109319,109.455475,4,,,4,,,False,False
2020-01-27,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-27,SGP,AS,Singapore,1.364917,103.822872,4,,,4,,,False,False
2020-01-27,KOR,AS,South Korea,35.901696,127.735889,4,,,4,,,False,False
2020-01-27,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-27,TWN,AS,Taiwan,21.901806,121.471,5,,,5,,,False,False
2020-01-27,THA,AS,Thailand,13.036597,101.492515,8,,,8,,,False,False
2020-01-27,ARE,AS,United Arab Emirates,24.358745,53.982494,1,,,1,,,False,False
2020-01-27,USA,NA,United States of America,36.966428,-95.844032,5,,,5,,,False,False
2020-01-27,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-28,AUS,OC,Australia,-26.853388,133.275155,4,,,4,,,False,False
2020-01-28,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-01-28,CAN,NA,Canada,62.393303,-96.818145,2,,,2,,,False,False
2020-01-28,CHN,AS,China,34.668138,104.165802,4528,106,,4422,,,False,False
2020-01-28,FRA,EU,France,46.232193,2.209667,4,0,0,4,4,0,True,True
2020-01-28,JPN,AS,Japan,34.886306,134.379711,4,,,4,,,False,False
2020-01-28,MYS,AS,Malaysia,4.109319,109.455475,4,,,4,,,False,False
2020-01-28,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-28,SGP,AS,Singapore,1.364917,103.822872,5,,,5,,,False,False
2020-01-28,KOR,AS,South Korea,35.901696,127.735889,4,,,4,,,False,False
2020-01-28,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-01-28,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-28,TWN,AS,Taiwan,21.901806,121.471,7,,,7,,,False,False
2020-01-28,THA,AS,Thailand,13.036597,101.492515,14,,,14,,,False,False
2020-01-28,ARE,AS,United Arab Emirates,24.358745,53.982494,1,,,1,,,False,False
2020-01-28,USA,NA,United States of America,36.966428,-95.844032,5,,,5,,,False,False
2020-01-28,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-29,AUS,OC,Australia,-26.853388,133.275155,4,,,4,,,False,False
2020-01-29,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-01-29,CAN,NA,Canada,62.393303,-96.818145,3,,,3,,,False,False
2020-01-29,CHN,AS,China,34.668138,104.165802,5994,132,,5862,,,False,False
2020-01-29,FRA,EU,France,46.232193,2.209667,5,0,0,5,5,0,True,True
2020-01-29,JPN,AS,Japan,34.886306,134.379711,7,,,7,,,False,False
2020-01-29,MYS,AS,Malaysia,4.109319,109.455475,7,,,7,,,False,False
2020-01-29,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-01-29,SGP,AS,Singapore,1.364917,103.822872,7,,,7,,,False,False
2020-01-29,KOR,AS,South Korea,35.901696,127.735889,4,,,4,,,False,False
2020-01-29,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-01-29,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-01-29,TWN,AS,Taiwan,21.901806,121.471,8,,,8,,,False,False
2020-01-29,THA,AS,Thailand,13.036597,101.492515,14,,,14,,,False,False
2020-01-29,ARE,AS,United Arab Emirates,24.358745,53.982494,1,,,1,,,False,False
2020-01-29,USA,NA,United States of America,36.966428,-95.844032,5,,,5,,,False,False
2020-01-29,VNM,AS,Vietnam,15.974222,105.806431,2,,,2,,,False,False
2020-01-30,AUS,OC,Australia,-26.853388,133.275155,6,,,6,,,False,False
2020-01-30,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-01-30,CAN,NA,Canada,62.393303,-96.818145,3,,,3,,,False,False
2020-01-30,CHN,AS,China,34.668138,104.165802,7734,170,,7564,,,False,False
2020-01-30,FRA,EU,France,46.232193,2.209667,6,0,0,6,6,0,True,True
2020-01-30,IND,AS,India,21.125681,82.794998,1,,,1,,,False,False
2020-01-30,JPN,AS,Japan,34.886306,134.379711,11,,,11,,,False,False
2020-01-30,MYS,AS,Malaysia,4.109319,109.455475,7,,,7,,,False,False
