Country,TotDays,TotPopLock,Population
Switzerland,468588197,3829569,7721946
Italy,5674132319,46898521,60359546
Norway,415320712,3592477,5829828
Finland,301089661,2220993,5937605
Romania,1387700121,7842283,20666934
Portugal,1118835573,8605071,10246204
Spain,6999339040,44236619,46937060
United Kingdom,6067909915,31773941,53463801
Germany,1615160986,24250338,83019213
Slovakia,491374963,4275349,5426340
Hungary,1372409851,9772756,19545512
Croatia,320423111,2271950,4121540
Bulgaria,210899534,1950641,7019588
Sweden,117760410,719723,10230185
France,0,0,14227948
Belgium,1085108645,4844385,11337950
Austria,733609933,5392572,8745532
Cyprus,0,0,875899
Poland,29377886,1152074,38286620
Netherlands,1636298464,7439328,16193116
Iceland,17655806,236001,305606
Estonia,162555414,1324820,1324820
Denmark,0,0,5885240
Slovenia,31023259,427608,1633656
Ireland,411956160,4904240,4904240
Czech Republic,1483059886,10619735,10619735
Latvia,32639456,1919968,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,0,0,493559
Montenegro,93265081,622182,622182
North Macedonia,46735470,0,2077132
Serbia,0,0,6963764
Turkey,3960787500,82003882,82003882
