,r0
Kursk,0.8250218853333547
Kymenlaakso,3.4999999999999996
Kyustendil,3.4183312632108787
Kärnten,0.29649796482022667
La Rioja,1.5337242773436164
La Réunion,0.9
Lanarkshire,3.308054136195589
Lappi,0.19117434750556167
Latvia,1.6497816822805385
Lazio,1.3527304720072066
Leningrad,1.3716930489478951
Lezhë,1.1059847190943564
Liberecký,3.3388343619254828
Liechtenstein,3.4999999999962554
Liguria,2.7048386768285098
Limburg,1.243889761214331
Lipetsk,2.2084165282126023
Lisbon,1.8518310393661235
Lithuania,0.9382350581019845
Ličko-senjska,2.384060326669329
Lombardia,1.845756684063949
London,2.160309193051493
Lothian,2.7872762699004983
Lovech,0.40774752946945453
Lubelskie,1.2519883844873498
Lubuskie,1.1859238692424567
Lucerne,1.0131913521107767
Luxembourg,5.217876069252869e-32
Länsi-Pohja,0.013697068978683636
Madeira,1.3118356397573194
Magadan,2.076869994961661
Malta,0.7902223300527318
Maramureș,1.2042757485982358
Marche,1.934171168114352
Mari El,1.0168646568512305
Martinique,0.9
Mayotte,0.9
Mazowieckie,0.4927095418986948
Małopolskie,0.7610402326962621
Mecklenburg-Vorpommern,1.9000374558637387
Mehedinți,0.6625514012216804
Međimurska,1.6741018122202334
Midlands,3.2434995532585367
Midtjylland,7.23021361723221e-09
Moldova,0.9988805100300056
Molise,0.9786326327961926
Monaco,3.4999999999999996
Montana,2.3757058144460736
Montenegro,3.037720989681954
Moravskoslezský,1.574759021693336
Mordovia,0.9893743147590598
Moscow,1.030092984257757
Mureș,1.113268377028766
Murmansk,1.0644199802100083
Møre og Romsdal,1.4033662035348553
Neamț,1.4506023904568668
Neuchâtel,2.1023383787791903
Nidwalden,2.465546279699024
Niedersachsen,0.7768853317274865
Niederösterreich,2.2110671982172554
Nitra,3.4999999999982316
Nizhny Novgorod,1.3472458823286595
Nordjylland,1.240281903957437e-09
Nordland,0.5022732396609891
Nordrhein-Westfalen,0.5131244949647646
Normandie,0.9
Norrbotten,0.031814512449163126
Norte,2.4417288559169714
North Brabant,1.3302669499018782
North East and Yorkshire,2.925595913727644
North Holland,1.8302438895927602
North Macedonia,1.0964867037922994
North Ossetia-Alania,1.9705656999629633
North West,2.687306586974617
Northeast Iceland,1.7942699494504994e-09
Northern Ireland,1.908723069517963
Northwest Iceland,4.090448222798495e-10
Novgorod,1.3089075727223551
Novosibirsk,1.0951300289647607
Nógrád,3.4999999999997646
Oberösterreich,0.6346898100884992
Obwalden,0.8077272872024437
Olomoucký,2.4417903052430106
Olt,0.5515960205025489
Omsk,0.2503172949489638
Opolskie,0.6908841547337521
Orenburg,0.8929681536506519
Orkney,0.19466590254069005
Oryol,1.3398813321276746
Osječko-baranjska,0.6317345136496741
Oslo,1.505806551250115
Osrednjeslovenske,0.9026232894629618
Overijssel,1.5912924122538932
Pardubický,2.727517740808149
Pazardzhik,0.9490341868320623
País Vasco,1.3807727025112246
Penza,2.0961361570362333
Perm,0.9306555611685896
Pernik,0.27834435028637866
Pest,3.4999999999999996
Piemonte,1.5590120730902592
Pirkanmaa,3.499999999940973
Pleven,0.11346679964823252
Plovdiv,0.4993715901455893
Plzenský,3.162641179034589
Podkarpackie,1.0019577609192418
Podlaskie,1.4347680208933644
Podravske,1.2347850011454686
Pohjois-Karjala,3.499999999990561
Pohjois-Pohjanmaa,2.603173428317372
Pohjois-Savo,0.49386868819795565
Pomorskie,1.0089083100693426
Pomurske,2.2528736691101257
Posavske,0.7738348934824407
Požeško-slavonska,2.364087691334173
Prague,2.9110734522957507
Prahova,0.6998164326342426
Prešov,2.1276147040699542
Primorsko-Goranska,2.1143169707842624
Primorsko-notranjske,0.20826644598244387
Primorsky,0.7537863648479933
Principado de Asturias,1.9873994020067347
Provence-Alpes-Côte d'Azur,0.9
Pskov,0.2817682356691087
Puglia,2.579751937648866
Päijät-Häme,3.499999999998629
Razgrad,2.4662307989659786
Región de Murcia,2.8675435921102936
Republic of Crimea,1.6698703312712877
Republic of Karelia,1.091830306346664
Rheinland-Pfalz,0.5094395311352637
Rogaland,2.4992949590780302
Rostov,1.2468914120019796
Ruse,1.6052282882014444
Ryazan,1.134497368278759
Saarland,0.3855894933352234
Sachsen,2.260910726445564
Sachsen-Anhalt,0.7678769037672311
Saint Petersburg,1.2742769082216883
Sakhalin,0.6560180112293428
Salzburg,0.2906221737047986
Samara,2.0542603484385733
San Marino,2.484754198419692
Saratov,1.121297018944392
Sardegna,1.5323602979286493
Satakunta,3.499999993407674
Satu Mare,1.3479926552366888
Savinjske,1.2513100994867075
Schaffhausen,1.8171410798584027
Schleswig Holstein,0.7253506655795162
Schwyz,0.4483280598682342
Scotland,0.9
Serbia,0.15559757966400295
Shetland,3.499999999966158
Shkodër,2.009169664026735
Shumen,0.5096397188545783
Sibiu,1.5745723741589464
Sicilia,2.2446780175255845
Silistra,0.9590640459277906
Sisačko-moslavačka,1.4702644796996014
Sjælland,3.0793360507670076e-09
Skåne,0.45136285550571253
Sliven,2.6608528947491004
Smolensk,0.6607635939444204
Smolyan,0.4218049290561326
Sofia City,1.109381949815241
Solothurn,0.5374239849938353
Somogy,3.499999999705673
South East,2.2872652123369943
South Holland,2.1857255624649943
South Iceland,3.499999999999976
South West,1.966578008807908
Splitsko-Dalmatinska,1.5152618629237447
St. Gallen,0.8387073229401136
Stara Zagora,1.4378873434412995
Stavropol,0.9941151460078957
Steiermark,1.4746207205093154
Stockholm,0.07066918127105516
Stredoceský,3.3285900221522566
Suceava,1.6980093582725457
Suðurnes Peninsula,9.186976959268623e-09
Sverdlovsk,0.815029013545237
Syddanmark,4.9240612391141555e-09
Szabolcs-Szatmár-Bereg,3.4999999999857954
Södermanland,0.21296441187570583
Sălaj,1.2281371367115521
Tambov,1.2731157781808207
Targovishte,1.1424115995236512
Tatarstan,0.773150483873969
Tayside,0.32142018921754656
Teleorman,2.3006019190700306
Thurgau,0.23647388916666187
Thüringen,1.4836636055427586
Ticino,0.1417041905412011
Timiș,0.9655817436678259
Tiranë,0.7519365002100168
Tirol,1.920352107121447
Tolna,3.499999999999962
Tomsk,1.3608856753008574
Toscana,1.8542269256747128
Trencín,0.5927032333720353
Trento,3.4999999999999463
Trnava,0.9396202698314927
Troms og Finnmark,0.10483351878734613
Trøndelag,0.12413078016994673
Tula,0.9924411520131546
Tulcea,0.9098582789056313
Turkey,1.4153049613288355
Tuva,1.1290464998708805
Tver,0.8698518265419152
Tyumen,0.9175220073932671
Udmurtia,2.076456740654286
Ulyanovsk,1.1413640762707307
Umbria,1.5280891184395629
Uppsala,0.2951721500660799
Uri,0.19479895661882554
Utrecht,2.4095303565877204
Vaasa,0.22054767315303367
Valais,0.8554313799189655
Valle d'Aosta,2.1609366506283165
Varaždinska,1.1725527597262517
Varna,0.7267896522559971
Varsinais-Suomi,0.223784131925228
Vas,3.499999999753909
Vaslui,1.181378472892509
Vaud,1.783923378449995
Veliko Tarnovo,0.15452116844585861
Veneto,1.4318859217831448
Vestfold og Telemark,0.8398761399068327
Vestland,3.4999999999999716
Veszprém,3.4999999999993645
Vidin,0.10604603500914382
Viken,3.4896892613394996
Virovitičko-podravska,2.5820819122959344
Vladimir,1.3960131339036779
Vlorë,0.8206216746446904
Volgograd,1.0541638003204532
Vologda,1.1465423308306517
Vorarlberg,3.2763649890224786
Voronezh,1.1278330467733237
Vrancea,0.37858170816611075
Vratsa,0.17127580757372335
Vukovarsko-srijemska,1.365641453090826
Vysocina,2.7042114174682528
Vâlcea,1.1270275785154158
Värmland,0.2667265473851392
Västerbotten,0.09211845832770285
Västernorrland,0.0500279582477471
Västmanland,1.1031642135386805
Västra Götaland,0.08163056861898689
Wales,3.499999999996776
Wallonia,1.3383348365746364
Warmińsko-mazurskie,0.8879468252411743
West Fjords,6.90779761156049e-10
West Iceland,3.4999999999998295
West North,0.9
Wielkopolskie,0.6982920991074452
Wien,1.8886036069223493
Yakutia,1.2933652195588048
Yamalo-Nenets AO,0.2833786025406307
Yambol,0.37191652642267387
Yaroslavl,1.0889801776207637
Zabaykalsky,2.3946267034722757
Zachodniopomorskie,0.5272972254658935
Zadarska,1.4834897947843861
Zagrebačka,1.559670199345539
Zala,3.4999999999999862
Zasavske,1.3308996323212727
Zeeland,0.734887697869775
Zilina,2.8180158463414386
Zlínský,2.4456056283899414
Zug,1.9496152380385918
Zurich,0.8372130162345981
Örebro,3.028020381439994
Östergötland,0.27903724782523026
Ústecký,2.8744991052591042
Łódzkie,0.3487732727869514
Śląskie,0.20370764844377526
Świętokrzyskie,0.8787602802314134
Šibensko-kninska,1.336601998008878
