Country,TotDays,TotPopLock,Population
Switzerland,853596897,5571869,7721946
Italy,8803858028,55697523,60359546
Norway,527402330,3859897,5829828
Finland,479565242,3808916,5937605
Romania,2837777156,19049719,20666934
Portugal,1395902538,10003358,10246204
Spain,7035865294,46937060,46937060
United Kingdom,7049215314,47408147,53463801
Germany,5361064138,37463016,83019213
Slovakia,621430770,3448148,5426340
Hungary,1462448055,9772756,19545512
Croatia,617818846,4121540,4121540
Bulgaria,667546015,4754202,7019588
Sweden,495766610,2971950,10230185
France,0,0,14227948
Belgium,1699558705,11337950,11337950
Austria,1144753304,7629372,8745532
Cyprus,0,0,875899
Poland,1572563610,12004435,38286620
Netherlands,2287976995,15226094,16193116
Iceland,25830519,236001,305606
Estonia,198590518,1324820,1324820
Denmark,0,0,5885240
Slovenia,88981216,751712,1633656
Ireland,735145576,4904240,4904240
Czech Republic,1591898276,10619735,10619735
Latvia,147453542,1919968,1919968
Lithuania,0,0,2794184
Luxembourg,0,0,613894
Malta,73984494,493559,493559
Montenegro,93265081,622182,622182
North Macedonia,311362086,2077132,2077132
Serbia,0,0,6963764
Turkey,12292381911,82003882,82003882
